datetime,open,high,low,close,volume,iv,oi,spot,strike
2024-11-26 09:15:00,81.55,98.4,77.2,77.2,8375,37.027676,99625,7280.0,7300.0
2024-11-26 09:16:00,80.5,82.1,80.5,82.1,24625,42.413337,104500,7264.25,7300.0
2024-11-26 09:17:00,80.0,82.1,80.0,82.1,12625,39.187546,104500,7280.0,7300.0
2024-11-26 09:18:00,93.7,95.6,84.05,86.35,17000,38.942148,105500,7289.9,7300.0
2024-11-26 09:19:00,86.35,87.95,83.7,85.0,6500,40.471521,105500,7280.0,7300.0
2024-11-26 09:20:00,85.0,87.0,84.55,85.5,2750,38.918347,105500,7288.35,7300.0
2024-11-26 09:21:00,88.0,88.0,84.45,84.45,6875,40.923589,105500,7276.75,7300.0
2024-11-26 09:22:00,83.3,83.3,72.05,76.0,7250,40.096932,108375,7262.55,7300.0
2024-11-26 09:23:00,76.0,78.0,72.6,77.6,7750,38.772137,108375,7272.65,7300.0
2024-11-26 09:24:00,81.85,83.0,77.7,83.0,4500,38.36489,108375,7285.95,7300.0
2024-11-26 09:25:00,83.0,86.1,83.0,84.0,4000,39.522861,106500,7282.6,7300.0
2024-11-26 09:26:00,84.0,84.0,75.75,78.5,3000,37.768897,106500,7279.5,7300.0
2024-11-26 09:27:00,78.5,88.55,78.5,88.0,2375,38.603569,106500,7295.0,7300.0
2024-11-26 09:28:00,88.0,89.8,85.1,85.1,3000,38.674568,103750,7288.9,7300.0
2024-11-26 09:29:00,84.7,84.7,83.7,83.85,1625,38.457042,103750,7287.4,7300.0
2024-11-26 09:30:00,88.0,104.3,88.0,95.95,21250,40.307923,103750,7303.0,7300.0
2024-11-26 09:31:00,96.6,102.4,96.0,100.5,3875,40.135998,100875,7312.4,7300.0
2024-11-26 09:32:00,100.5,100.85,95.85,99.3,5625,39.298297,100875,7313.75,7300.0
2024-11-26 09:33:00,99.3,99.3,92.05,95.35,5375,41.225606,100875,7297.85,7300.0
2024-11-26 09:34:00,94.25,95.4,83.65,83.65,7375,39.744296,99500,7281.1,7300.0
2024-11-26 09:35:00,85.65,90.75,80.0,80.0,3375,39.275865,99500,7275.7,7300.0
2024-11-26 09:36:00,80.0,96.4,80.0,94.5,3875,38.887544,99500,7306.6,7300.0
2024-11-26 09:37:00,94.5,97.35,91.35,95.3,2500,38.921031,99250,7308.0,7300.0
2024-11-26 09:38:00,95.3,102.25,95.3,102.25,4875,39.380341,99250,7319.0,7300.0
2024-11-26 09:39:00,103.0,111.95,100.65,111.55,17625,40.24961,99250,7332.15,7300.0
2024-11-26 09:40:00,111.55,112.75,107.95,109.8,8375,39.177073,95000,7333.35,7300.0
2024-11-26 09:41:00,109.8,120.25,109.8,119.0,7625,40.009113,95000,7345.95,7300.0
2024-11-26 09:42:00,119.9,125.0,117.0,120.35,15750,39.617709,95000,7349.7,7300.0
2024-11-26 09:43:00,118.0,118.6,107.6,111.5,10000,39.555979,94000,7334.9,7300.0
2024-11-26 09:44:00,112.1,114.95,107.25,112.2,4250,39.898779,94000,7334.8,7300.0
2024-11-26 09:45:00,113.15,118.4,102.55,105.8,7375,39.835422,94000,7323.75,7300.0
2024-11-26 09:46:00,105.8,114.0,103.3,103.75,4625,40.53633,94000,7317.15,7300.0
2024-11-26 09:47:00,104.9,107.0,96.15,96.95,5750,39.685859,94000,7308.1,7300.0
2024-11-26 09:48:00,99.35,103.45,99.0,99.55,3250,41.537371,94000,7305.05,7300.0
2024-11-26 09:49:00,99.55,99.55,85.85,88.8,13125,40.06159,96625,7290.6,7300.0
2024-11-26 09:50:00,88.8,91.25,87.0,89.2,4375,39.937041,96625,7292.0,7300.0
2024-11-26 09:51:00,89.2,95.2,89.1,93.05,2750,39.864189,96625,7299.95,7300.0
2024-11-26 09:52:00,93.05,94.5,91.0,91.95,4000,40.672821,99250,7294.2,7300.0
2024-11-26 09:53:00,91.95,92.95,86.0,87.95,4750,40.312776,99250,7287.85,7300.0
2024-11-26 09:54:00,88.75,92.15,88.0,88.0,2250,41.459831,99250,7282.65,7300.0
2024-11-26 09:55:00,88.5,91.55,87.75,89.45,2500,41.396698,105375,7285.95,7300.0
2024-11-26 09:56:00,89.95,89.95,83.15,83.15,3125,39.793032,105375,7280.5,7300.0
2024-11-26 09:57:00,83.15,84.45,83.15,84.0,875,40.491085,105375,7279.0,7300.0
2024-11-26 09:58:00,84.0,90.85,84.0,87.3,3375,40.524283,106000,7285.7,7300.0
2024-11-26 09:59:00,87.3,87.75,83.45,87.75,3125,40.922733,106000,7284.8,7300.0
2024-11-26 10:00:00,85.1,92.4,83.5,91.2,3250,40.351718,106000,7294.4,7300.0
2024-11-26 10:01:00,91.2,98.0,91.2,96.1,7125,39.006107,105625,7309.8,7300.0
2024-11-26 10:02:00,96.1,104.0,96.1,99.25,5750,39.148091,105625,7315.1,7300.0
2024-11-26 10:03:00,99.25,100.05,96.75,97.0,3250,39.823413,105625,7308.05,7300.0
2024-11-26 10:04:00,97.0,101.05,97.0,100.35,875,41.211793,101250,7308.45,7300.0
2024-11-26 10:05:00,100.35,104.0,93.15,95.9,4750,42.65274,101250,7293.5,7300.0
