datetime,open,high,low,close,volume,iv,oi,spot,strike
2026-01-27 09:15:00,22.2,22.2,22.1,22.1,18600,183.972478,107400,791.6,790.0
2026-01-27 09:16:00,19.95,22.1,19.95,19.95,29400,169.07887,97200,790.8,790.0
2026-01-27 09:17:00,22.0,27.6,19.55,23.45,24600,194.282909,372000,782.5,780.0
2026-01-27 09:18:00,17.3,23.45,17.3,17.3,26400,165.875432,372000,776.8,780.0
2026-01-27 09:19:00,17.3,17.3,17.3,17.3,0,157.274366,364800,778.8,780.0
2026-01-27 09:20:00,14.0,17.3,13.9,13.9,109800,135.998178,364800,776.8,780.0
2026-01-27 09:21:00,16.55,19.8,16.55,16.55,7800,139.042345,73200,771.8,770.0
2026-01-27 09:22:00,14.7,16.55,14.7,14.7,36600,118.759041,56400,772.6,770.0
2026-01-27 09:23:00,13.0,13.0,9.9,13.0,72600,121.44238,273600,778.4,780.0
2026-01-27 09:24:00,13.5,13.5,13.0,13.5,15000,108.687931,273600,782.2,780.0
2026-01-27 09:25:00,14.0,14.0,13.5,14.0,17400,101.891341,246000,784.5,780.0
2026-01-27 09:26:00,10.75,10.75,8.75,10.75,26400,114.032128,119400,785.1,790.0
2026-01-27 09:27:00,10.6,10.75,10.6,10.6,14400,73.177705,119400,794.0,790.0
2026-01-27 09:28:00,15.4,15.4,10.6,14.0,67200,106.26466,109800,793.4,790.0
2026-01-27 09:29:00,10.05,11.0,8.7,11.0,108600,103.253702,313800,798.0,800.0
2026-01-27 09:30:00,15.85,16.0,12.0,12.0,8400,111.295383,109800,788.5,790.0
2026-01-27 09:31:00,7.3,11.0,6.5,10.1,84000,102.533862,261000,796.3,800.0
2026-01-27 09:32:00,10.65,11.95,8.95,10.05,114000,106.934158,261000,795.1,800.0
2026-01-27 09:33:00,10.65,14.05,10.05,12.8,126000,102.440827,261000,801.8,800.0
2026-01-27 09:34:00,10.95,11.0,9.9,11.0,65400,110.468467,158400,806.0,810.0
2026-01-27 09:35:00,13.7,16.95,11.0,16.35,145200,139.388724,158400,810.1,810.0
2026-01-27 09:36:00,20.05,20.05,13.95,15.05,73200,108.357669,252000,804.7,800.0
2026-01-27 09:37:00,10.3,15.8,10.3,12.25,94800,107.835453,184800,809.3,810.0
2026-01-27 09:38:00,13.8,13.8,12.25,13.0,12000,114.799573,184800,809.2,810.0
2026-01-27 09:39:00,13.5,13.6,13.0,13.6,58800,98.60083,184800,813.9,810.0
2026-01-27 09:40:00,14.25,14.25,11.75,14.05,99600,136.166062,191400,815.9,820.0
2026-01-27 09:41:00,18.3,19.0,15.75,15.75,21600,127.666948,189600,811.7,810.0
2026-01-27 09:42:00,14.25,15.75,13.0,13.0,19200,125.253159,189600,806.8,810.0
2026-01-27 09:43:00,13.35,16.0,13.0,16.0,10200,126.798374,186600,812.4,810.0
2026-01-27 09:44:00,16.5,17.4,14.0,14.15,18600,116.403244,186600,811.2,810.0
