datetime,open,high,low,close,volume,iv,oi,spot,strike
2024-01-30 09:15:00,59.4,59.4,57.85,57.85,11200,37.236883,179200,1193.8,1190.0
2024-01-30 09:16:00,58.95,58.95,58.0,58.0,15200,37.576851,179200,1193.25,1190.0
2024-01-30 09:17:00,56.0,56.0,55.45,55.45,9600,37.921979,176000,1187.8,1190.0
2024-01-30 09:18:00,55.0,55.0,54.55,55.0,7200,38.031587,176000,1186.7,1190.0
2024-01-30 09:19:00,55.0,57.55,54.6,57.55,12000,37.329036,176000,1193.05,1190.0
2024-01-30 09:20:00,56.25,56.25,56.25,56.25,2400,38.06992,176000,1188.9,1190.0
2024-01-30 09:21:00,55.5,55.5,54.0,54.0,6400,37.813155,180000,1185.4,1190.0
2024-01-30 09:22:00,54.3,55.05,54.3,55.05,8000,37.830307,180000,1187.3,1190.0
2024-01-30 09:23:00,55.05,55.45,55.05,55.45,1600,38.246136,182400,1187.0,1190.0
2024-01-30 09:24:00,55.45,55.45,55.45,55.45,0,38.246136,182400,1188.45,1190.0
2024-01-30 09:25:00,59.0,59.0,58.0,58.0,4800,37.239,210400,1184.9,1180.0
2024-01-30 09:26:00,58.0,58.0,57.25,57.25,800,36.849464,211200,1184.5,1180.0
2024-01-30 09:27:00,57.25,57.25,57.15,57.15,1600,36.817639,211200,1184.4,1180.0
2024-01-30 09:28:00,55.85,55.85,55.0,55.0,3200,36.097036,211200,1182.3,1180.0
2024-01-30 09:29:00,55.55,57.75,54.7,57.75,16000,37.265857,213600,1184.4,1180.0
2024-01-30 09:30:00,52.8,53.3,52.8,53.3,5600,36.40278,180800,1187.65,1190.0
2024-01-30 09:31:00,54.3,54.3,53.95,53.95,6400,36.762163,180800,1187.95,1190.0
2024-01-30 09:32:00,53.85,54.6,53.85,54.6,4000,36.838432,184000,1188.95,1190.0
2024-01-30 09:33:00,54.15,55.5,54.15,55.5,9600,37.361172,184000,1189.3,1190.0
2024-01-30 09:34:00,55.0,55.5,54.45,55.5,16000,37.219517,184000,1189.65,1190.0
2024-01-30 09:35:00,56.75,56.75,56.3,56.3,8000,37.320843,186400,1190.85,1190.0
2024-01-30 09:36:00,55.0,56.1,55.0,56.1,6400,36.577288,186400,1192.3,1190.0
2024-01-30 09:37:00,56.45,57.8,56.45,57.8,6400,36.856153,186400,1194.65,1190.0
2024-01-30 09:38:00,56.9,56.9,56.9,56.9,2400,36.463243,194400,1194.0,1190.0
2024-01-30 09:39:00,56.9,58.0,56.9,58.0,1600,36.87925,194400,1194.95,1190.0
2024-01-30 09:40:00,53.0,54.85,53.0,54.05,67200,36.899497,2310400,1196.95,1200.0
2024-01-30 09:41:00,54.2,55.35,54.2,55.0,72000,37.216892,2281600,1197.9,1200.0
2024-01-30 09:42:00,55.0,55.5,54.3,55.2,48800,37.063675,2281600,1198.65,1200.0
2024-01-30 09:43:00,57.05,57.75,56.3,56.4,116000,36.932758,2281600,1201.15,1200.0
2024-01-30 09:44:00,56.4,59.1,56.4,59.0,211200,38.142459,2369600,1202.85,1200.0
2024-01-30 09:45:00,58.85,59.15,57.95,58.5,119200,37.756236,2369600,1202.9,1200.0
2024-01-30 09:46:00,58.1,58.6,56.8,58.45,59200,37.863732,2369600,1202.55,1200.0
2024-01-30 09:47:00,58.35,58.35,56.95,57.1,40000,37.508291,2420000,1201.0,1200.0
2024-01-30 09:48:00,57.2,57.2,56.55,56.95,68800,37.662631,2420000,1200.35,1200.0
2024-01-30 09:49:00,55.55,56.2,55.55,56.2,21600,37.618435,2420000,1199.1,1200.0
2024-01-30 09:50:00,56.0,56.15,56.0,56.15,46400,37.461658,2392800,1199.4,1200.0
