datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-07-29 09:15:00,44.8,47.05,44.8,47.05,2625,30.288617,27000,5045.0,5050.0
2025-07-29 09:16:00,44.35,44.35,39.95,44.35,1500,26.000635,29500,5053.0,5050.0
2025-07-29 09:17:00,46.6,49.55,46.6,46.6,500,26.789762,29500,5054.9,5050.0
2025-07-29 09:19:00,49.5,49.5,49.5,49.5,1375,29.401883,29125,5052.6,5050.0
2025-07-29 09:21:00,43.5,43.5,43.5,43.5,625,24.366097,29125,5056.3,5050.0
2025-07-29 09:22:00,48.0,48.0,45.85,45.85,750,26.674246,29750,5053.9,5050.0
2025-07-29 09:23:00,45.85,45.85,36.55,36.55,9250,21.396098,29750,5052.1,5050.0
2025-07-29 09:24:00,40.9,40.9,36.25,36.25,1000,23.126978,29750,5046.2,5050.0
2025-07-29 09:25:00,42.5,42.5,42.5,42.5,750,25.827114,24250,5050.1,5050.0
2025-07-29 09:26:00,41.65,42.95,41.65,42.95,375,26.213816,24250,5049.8,5050.0
2025-07-29 09:32:00,42.95,44.95,42.95,44.95,125,27.440459,24375,5050.0,5050.0
2025-07-29 09:33:00,45.0,45.0,45.0,45.0,375,26.519447,24375,5052.9,5050.0
2025-07-29 09:34:00,42.0,42.0,42.0,42.0,125,24.622613,24375,5052.9,5050.0
2025-07-29 09:35:00,42.0,42.05,42.0,42.05,375,26.362926,24375,5047.7,5050.0
2025-07-29 09:36:00,43.4,43.5,43.4,43.5,1000,27.188954,24375,5048.0,5050.0
2025-07-29 09:37:00,43.65,43.65,43.65,43.65,250,26.997765,24125,5048.9,5050.0
2025-07-29 09:38:00,43.75,43.8,43.75,43.8,750,26.411204,24125,5051.0,5050.0
2025-07-29 09:39:00,45.0,45.0,44.0,44.0,3375,27.131103,24125,5049.2,5050.0
2025-07-29 09:40:00,43.9,43.9,43.9,43.9,1500,27.749357,26500,5047.1,5050.0
2025-07-29 09:41:00,44.5,44.5,44.5,44.5,125,28.070108,26500,5047.3,5050.0
2025-07-29 09:42:00,44.5,47.0,44.5,47.0,125,27.121426,26500,5055.0,5050.0
2025-07-29 09:43:00,45.1,45.1,45.1,45.1,250,25.918925,27000,5055.0,5050.0
2025-07-29 09:44:00,49.0,49.0,46.9,46.9,500,27.066944,27000,5055.0,5050.0
2025-07-29 09:45:00,46.9,52.0,46.9,52.0,1125,27.089195,27000,5064.2,5050.0
2025-07-29 09:46:00,52.0,52.0,52.0,52.0,750,26.653838,27375,5065.4,5050.0
2025-07-29 09:47:00,52.0,52.0,52.0,52.0,1500,25.30527,27375,5069.0,5050.0
2025-07-29 09:48:00,53.0,54.0,53.0,54.0,1000,28.021171,27375,5065.2,5050.0
2025-07-29 09:49:00,54.0,54.0,54.0,54.0,375,26.380938,26125,5069.6,5050.0
2025-07-29 09:50:00,53.15,54.2,53.15,54.2,500,29.418989,26125,5061.7,5050.0
2025-07-29 09:51:00,54.0,54.0,54.0,54.0,625,28.108382,26125,5065.0,5050.0
2025-07-29 09:52:00,54.0,54.0,54.0,54.0,500,28.113094,25500,5065.0,5050.0
2025-07-29 09:53:00,57.3,57.3,57.3,57.3,500,30.235068,25500,5065.0,5050.0
2025-07-29 09:54:00,57.3,59.8,57.3,59.8,1375,29.169766,25500,5072.2,5050.0
2025-07-29 09:55:00,62.05,62.2,61.25,62.2,4500,31.92906,24250,5069.0,5050.0
2025-07-29 09:56:00,61.45,61.45,61.45,61.45,500,31.451587,24250,5069.0,5050.0
2025-07-29 09:57:00,60.9,60.9,59.3,59.3,750,29.280472,24250,5071.1,5050.0
2025-07-29 09:58:00,61.25,62.8,61.25,62.8,375,31.247657,24250,5071.9,5050.0
2025-07-29 09:59:00,60.25,60.25,60.25,60.25,250,31.064331,24250,5068.0,5050.0
2025-07-29 10:00:00,60.5,63.15,60.5,63.15,500,31.973196,24250,5070.6,5050.0
2025-07-29 10:01:00,63.55,65.0,63.55,65.0,625,33.022861,24500,5071.0,5050.0
2025-07-29 10:02:00,49.5,51.0,49.5,51.0,5750,37.095154,49875,5080.5,5100.0
2025-07-29 10:03:00,49.6,49.9,49.6,49.8,3375,36.92169,51250,5078.5,5100.0
2025-07-29 10:04:00,49.8,49.8,46.2,47.7,1875,36.481207,51250,5075.4,5100.0
2025-07-29 10:05:00,47.7,49.2,47.1,48.15,3875,35.739502,51250,5079.0,5100.0
2025-07-29 10:07:00,47.95,47.95,46.6,46.6,1625,35.397335,50625,5076.8,5100.0
2025-07-29 10:08:00,61.6,61.6,61.6,61.6,625,29.324735,24250,5075.0,5050.0
2025-07-29 10:09:00,60.85,60.85,60.85,60.85,125,28.996365,24250,5074.6,5050.0
2025-07-29 10:10:00,64.5,64.5,63.85,63.85,250,31.877244,24125,5072.2,5050.0
2025-07-29 10:12:00,59.05,59.05,59.05,59.05,500,32.492565,24125,5062.1,5050.0
2025-07-29 10:13:00,58.0,58.0,57.4,57.4,750,32.110131,24125,5060.2,5050.0
2025-07-29 10:15:00,58.2,58.2,58.2,58.2,125,34.753548,24125,5054.0,5050.0
2025-07-29 10:16:00,52.0,54.0,52.0,54.0,5625,31.335802,24125,5056.2,5050.0
2025-07-29 10:18:00,54.0,59.25,54.0,59.25,125,33.876034,24125,5058.6,5050.0
2025-07-29 10:19:00,59.85,59.85,59.85,59.85,750,34.161565,23250,5058.9,5050.0
2025-07-29 10:20:00,55.25,55.25,55.25,55.25,125,32.22334,23250,5056.0,5050.0
2025-07-29 10:21:00,56.85,56.85,56.85,56.85,125,33.250601,23250,5056.0,5050.0
2025-07-29 10:22:00,57.0,57.0,57.0,57.0,125,33.24977,23000,5056.3,5050.0
2025-07-29 10:27:00,57.0,57.0,49.45,49.45,3500,29.097554,23000,5054.4,5050.0
2025-07-29 10:28:00,47.0,47.0,47.0,47.0,375,28.809246,22500,5050.6,5050.0
2025-07-29 10:29:00,47.0,47.0,42.3,42.3,125,26.567218,22500,5048.3,5050.0
2025-07-29 10:32:00,43.55,43.55,43.55,43.55,125,26.258761,22375,5051.7,5050.0
2025-07-29 10:37:00,43.55,45.2,43.55,45.2,125,25.9103,22250,5055.9,5050.0
2025-07-29 10:40:00,47.0,48.0,47.0,48.0,250,27.37344,22250,5056.9,5050.0
2025-07-29 10:41:00,49.0,49.0,49.0,49.0,500,28.054462,22250,5056.8,5050.0
2025-07-29 10:44:00,49.0,49.0,46.5,46.5,125,27.426413,22250,5054.0,5050.0
2025-07-29 10:46:00,42.5,42.5,42.5,42.5,250,27.161195,22250,5047.1,5050.0
2025-07-29 10:48:00,40.5,40.5,40.0,40.0,250,26.432963,22250,5044.4,5050.0
2025-07-29 10:49:00,37.0,37.0,37.0,37.0,250,23.813613,22250,5046.6,5050.0
2025-07-29 10:50:00,41.15,41.15,41.15,41.15,125,25.827226,22250,5048.6,5050.0
2025-07-29 10:52:00,42.25,42.25,42.25,42.25,1500,26.899082,22250,5047.5,5050.0
2025-07-29 10:53:00,40.35,40.35,39.9,39.9,250,26.26433,21625,5044.8,5050.0
2025-07-29 10:56:00,39.9,39.9,37.95,37.95,250,24.963307,21375,5045.0,5050.0
2025-07-29 10:57:00,39.0,39.0,39.0,39.0,500,24.577435,21375,5048.3,5050.0
2025-07-29 11:04:00,39.15,39.15,39.15,39.15,125,24.735902,21125,5048.2,5050.0
