datetime,open,high,low,close,volume,iv,oi,spot,strike
2024-06-25 09:15:00,8.5,10.75,8.4,9.2,25200,29.594228,1548000,664.95,660.0
2024-06-25 09:16:00,10.15,10.15,10.15,10.15,44100,36.55261,1548000,664.25,660.0
2024-06-25 09:17:00,10.1,10.1,10.1,10.1,34200,34.944372,1548000,664.7,660.0
2024-06-25 09:18:00,10.05,10.05,9.05,9.2,17100,32.895429,1535400,663.9,660.0
2024-06-25 09:19:00,9.2,9.4,9.2,9.3,30600,33.844731,1535400,663.75,660.0
2024-06-25 09:20:00,9.3,9.3,9.1,9.1,16200,35.747297,1535400,662.75,660.0
2024-06-25 09:21:00,9.0,9.4,9.0,9.4,13500,33.000123,1503000,664.2,660.0
2024-06-25 09:22:00,9.4,9.4,9.4,9.4,5400,33.611316,1503000,664.0,660.0
2024-06-25 09:23:00,5.75,6.25,5.75,6.25,54900,39.567958,2140200,665.15,670.0
2024-06-25 09:24:00,6.6,6.6,6.6,6.6,29700,38.648101,2140200,666.4,670.0
2024-06-25 09:25:00,6.55,6.55,6.2,6.2,96300,38.508132,2134800,665.55,670.0
2024-06-25 09:26:00,10.25,10.25,9.8,9.8,48600,33.176572,1494900,664.8,660.0
2024-06-25 09:27:00,10.05,10.05,10.05,10.05,12600,33.813413,1494900,665.0,660.0
2024-06-25 09:28:00,9.15,9.2,8.65,8.7,31500,32.542554,1475100,663.2,660.0
2024-06-25 09:29:00,8.55,8.55,8.3,8.3,10800,32.582146,1475100,662.5,660.0
2024-06-25 09:30:00,8.25,8.25,8.2,8.25,3600,34.271206,1475100,661.8,660.0
2024-06-25 09:31:00,8.05,8.05,7.25,7.25,119700,32.450615,1478700,660.65,660.0
2024-06-25 09:32:00,7.35,7.7,7.3,7.3,10800,33.08226,1478700,660.5,660.0
2024-06-25 09:33:00,7.3,7.5,6.7,6.7,54000,33.75964,1517400,659.05,660.0
2024-06-25 09:34:00,6.75,6.75,6.45,6.75,39600,37.37933,1517400,657.6,660.0
2024-06-25 09:35:00,6.35,6.55,5.85,6.55,189900,41.115917,1517400,655.45,660.0
