datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-05-27 09:15:00,55.05,58.95,50.05,55.0,10000,60.38987,256000,2994.5,3000.0
2025-05-27 09:16:00,55.0,61.4,50.0,59.95,10800,61.651897,256000,3001.9,3000.0
2025-05-27 09:17:00,59.95,65.0,58.25,62.1,10600,63.835976,256000,3002.1,3000.0
2025-05-27 09:18:00,61.2,62.4,57.0,62.4,22600,64.881802,249000,3000.8,3000.0
2025-05-27 09:19:00,62.4,70.8,61.0,70.0,17400,62.252899,249000,3019.4,3000.0
2025-05-27 09:20:00,47.15,52.0,45.4,50.85,37200,62.188428,192600,3030.4,3050.0
2025-05-27 09:21:00,72.8,75.4,68.1,70.4,16800,62.943546,235200,3019.0,3000.0
2025-05-27 09:22:00,70.4,73.3,69.1,71.5,6000,64.85355,235200,3017.8,3000.0
2025-05-27 09:23:00,72.55,76.0,70.75,70.75,11800,62.974583,235200,3019.6,3000.0
2025-05-27 09:24:00,70.75,73.9,70.0,70.4,7000,65.307129,228000,3015.1,3000.0
2025-05-27 09:25:00,70.4,76.65,69.75,72.75,9600,62.559366,228000,3023.8,3000.0
2025-05-27 09:26:00,48.5,56.1,48.5,54.35,21400,63.16261,197800,3036.0,3050.0
2025-05-27 09:27:00,54.35,55.5,51.15,53.0,21200,63.545522,200600,3032.4,3050.0
2025-05-27 09:28:00,53.0,56.45,51.0,55.5,21600,65.096882,200600,3034.6,3050.0
2025-05-27 09:29:00,55.5,56.25,54.0,54.8,23600,64.56955,200600,3034.2,3050.0
2025-05-27 09:30:00,80.15,80.75,71.0,76.6,7400,66.627199,227200,3024.0,3000.0
2025-05-27 09:31:00,76.6,76.6,68.35,70.1,6800,66.645964,227200,3012.4,3000.0
2025-05-27 09:32:00,70.1,74.45,70.1,74.45,6800,64.273146,227200,3024.1,3000.0
2025-05-27 09:33:00,74.45,74.45,69.0,69.0,4200,63.249139,228200,3016.2,3000.0
2025-05-27 09:34:00,69.0,70.15,60.9,62.5,15800,63.878844,228200,3003.1,3000.0
2025-05-27 09:35:00,62.5,65.4,61.0,61.5,10000,63.987793,228200,3001.0,3000.0
2025-05-27 09:36:00,61.5,65.85,60.6,64.7,10400,63.019362,229200,3008.8,3000.0
2025-05-27 09:37:00,65.85,66.75,64.5,66.5,9000,63.912034,229200,3010.6,3000.0
2025-05-27 09:38:00,66.5,71.9,66.4,71.9,7200,62.890623,229200,3022.0,3000.0
2025-05-27 09:39:00,71.9,72.0,68.55,70.75,4000,61.662706,227200,3022.0,3000.0
2025-05-27 09:40:00,70.75,72.1,68.15,72.05,3800,64.176543,227200,3020.2,3000.0
2025-05-27 09:41:00,72.05,72.05,69.2,69.2,5400,62.944844,227200,3017.2,3000.0
2025-05-27 09:42:00,45.0,51.85,45.0,51.25,15000,61.845248,213000,3032.4,3050.0
2025-05-27 09:43:00,51.5,53.7,50.3,52.15,19200,61.513222,213000,3035.0,3050.0
2025-05-27 09:44:00,52.8,52.8,50.7,51.85,7600,61.156032,213000,3035.1,3050.0
2025-05-27 09:45:00,78.2,78.2,71.4,72.0,9000,61.825249,225800,3024.0,3000.0
2025-05-27 09:46:00,48.05,49.0,47.2,47.9,7000,61.728512,211800,3025.4,3050.0
2025-05-27 09:47:00,74.0,74.0,71.2,73.4,4600,63.54399,225800,3023.7,3000.0
2025-05-27 09:48:00,46.5,48.45,45.5,47.85,17400,61.40764,211800,3026.0,3050.0
2025-05-27 09:49:00,74.25,74.25,68.0,68.15,6800,61.474889,228600,3017.9,3000.0
2025-05-27 09:50:00,68.15,71.0,66.55,71.0,5400,60.793939,228600,3024.0,3000.0
2025-05-27 09:51:00,45.7,49.2,45.7,47.4,17800,59.85032,211400,3028.3,3050.0
2025-05-27 09:52:00,47.4,49.3,46.95,49.3,11600,60.024518,211800,3032.1,3050.0
2025-05-27 09:53:00,48.9,50.25,47.6,48.95,12000,58.772744,211800,3033.9,3050.0
2025-05-27 09:54:00,48.95,49.95,48.0,48.5,4800,59.68603,211800,3031.1,3050.0
2025-05-27 09:55:00,48.5,48.5,46.4,47.15,2800,59.283447,208200,3029.0,3050.0
2025-05-27 09:56:00,71.8,71.85,70.0,71.2,4800,61.194779,232200,3023.8,3000.0
2025-05-27 09:57:00,71.2,72.15,68.5,68.5,5400,62.051824,232200,3017.7,3000.0
2025-05-27 09:58:00,68.5,68.5,65.8,68.0,4400,59.87265,229400,3020.4,3000.0
2025-05-27 09:59:00,68.0,70.1,68.0,70.0,800,60.802084,229400,3022.4,3000.0
2025-05-27 10:00:00,45.0,47.2,44.2,47.2,5200,59.868344,207800,3028.0,3050.0
2025-05-27 10:01:00,71.3,72.3,67.55,67.55,1400,59.970256,229200,3019.5,3000.0
2025-05-27 10:02:00,67.55,68.7,67.45,67.45,600,59.193584,229200,3020.6,3000.0
2025-05-27 10:03:00,67.45,70.4,67.45,70.4,1200,62.080464,229200,3021.1,3000.0
2025-05-27 10:04:00,70.4,70.4,68.0,68.0,400,58.623601,229600,3022.5,3000.0
2025-05-27 10:05:00,68.0,71.75,68.0,71.75,1000,61.186579,229600,3024.9,3000.0
2025-05-27 10:06:00,71.75,71.75,70.3,71.5,800,62.742059,229600,3022.0,3000.0
2025-05-27 10:07:00,44.75,47.0,44.75,46.5,2400,59.766085,210400,3026.8,3050.0
2025-05-27 10:08:00,46.5,47.7,46.05,47.7,3800,60.042593,210400,3028.9,3050.0
2025-05-27 10:09:00,47.05,48.0,47.0,48.0,2400,60.226344,210400,3029.2,3050.0
2025-05-27 10:10:00,75.3,75.3,70.55,70.55,1400,60.565462,229200,3023.9,3000.0
2025-05-27 10:11:00,45.6,46.8,45.6,46.8,400,60.173647,208600,3026.7,3050.0
2025-05-27 10:12:00,46.25,46.25,46.0,46.0,1400,58.942172,208600,3027.5,3050.0
2025-05-27 10:13:00,46.0,47.0,45.85,47.0,2000,58.905472,208200,3029.8,3050.0
2025-05-27 10:14:00,47.0,48.55,47.0,47.0,4200,58.328445,208200,3031.0,3050.0
2025-05-27 10:15:00,47.0,48.15,45.65,45.65,6000,59.22043,208200,3026.2,3050.0
2025-05-27 10:16:00,70.65,70.65,68.3,68.3,600,58.937658,231000,3022.7,3000.0
2025-05-27 10:17:00,68.3,71.6,68.3,70.15,1000,59.946817,231000,3024.3,3000.0
2025-05-27 10:18:00,70.15,70.15,67.0,69.3,1600,60.355358,231000,3022.2,3000.0
2025-05-27 10:19:00,70.25,70.85,69.5,70.85,600,61.983172,231600,3022.3,3000.0
2025-05-27 10:20:00,45.5,46.65,45.25,46.65,2000,59.859129,204000,3027.2,3050.0
2025-05-27 10:21:00,73.5,73.5,70.1,70.1,400,61.377272,231600,3022.0,3000.0
2025-05-27 10:22:00,70.1,70.1,70.1,70.1,0,61.377272,231600,3023.3,3000.0
2025-05-27 10:23:00,44.5,48.45,44.5,48.15,2600,59.93537,203400,3030.4,3050.0
2025-05-27 10:24:00,48.15,48.15,46.75,46.75,4000,59.859995,203400,3027.5,3050.0
2025-05-27 10:25:00,46.75,48.0,45.9,48.0,1000,60.9176,202400,3028.1,3050.0
2025-05-27 10:26:00,48.5,48.5,45.65,45.65,2000,59.421512,202400,3026.0,3050.0
2025-05-27 10:27:00,72.0,72.25,72.0,72.25,200,62.45513,231800,3024.1,3000.0
2025-05-27 10:28:00,45.65,47.35,45.65,47.35,800,59.569154,202200,3029.5,3050.0
2025-05-27 10:29:00,47.35,48.7,47.35,48.0,800,60.81098,202200,3028.4,3050.0
2025-05-27 10:30:00,48.0,48.1,47.8,48.0,1800,61.015457,202200,3028.0,3050.0
2025-05-27 10:31:00,48.0,50.5,47.85,50.5,6800,61.08511,202800,3033.3,3050.0
2025-05-27 10:32:00,50.5,50.6,49.1,49.95,4400,61.056217,202800,3032.2,3050.0
2025-05-27 10:33:00,50.5,51.15,49.9,50.95,9000,59.720333,202800,3037.0,3050.0
2025-05-27 10:34:00,50.95,55.8,50.05,55.8,10200,60.722818,204000,3045.0,3050.0
2025-05-27 10:35:00,55.8,61.0,55.05,57.95,45600,59.831066,204000,3050.9,3050.0
2025-05-27 10:36:00,57.9,60.1,54.0,54.2,19800,60.25924,204000,3042.7,3050.0
2025-05-27 10:37:00,54.2,54.7,52.45,54.1,6800,61.568444,193600,3040.0,3050.0
2025-05-27 10:38:00,54.1,55.65,51.0,55.65,8200,62.705014,193600,3041.0,3050.0
2025-05-27 10:39:00,55.8,59.3,55.5,59.0,7200,62.341313,193600,3048.4,3050.0
2025-05-27 10:40:00,59.2,59.5,57.3,58.2,12800,62.096881,193600,3047.3,3050.0
2025-05-27 10:41:00,58.2,60.6,57.0,60.35,29800,62.431279,193600,3050.9,3050.0
2025-05-27 10:42:00,60.35,60.9,59.45,59.6,11600,62.573959,193600,3049.2,3050.0
2025-05-27 10:43:00,59.6,59.6,57.1,57.65,11200,61.812689,197800,3046.8,3050.0
2025-05-27 10:44:00,57.3,59.35,55.1,59.25,12600,62.602887,197800,3048.5,3050.0
2025-05-27 10:45:00,59.15,65.35,59.0,64.85,24000,60.804854,197800,3062.3,3050.0
2025-05-27 10:46:00,66.0,67.0,62.8,63.95,21800,60.902605,186800,3060.5,3050.0
2025-05-27 10:47:00,63.75,65.9,63.75,65.5,16200,62.154345,186800,3061.2,3050.0
2025-05-27 10:48:00,65.5,65.5,62.9,62.9,6400,61.97831,186800,3056.7,3050.0
2025-05-27 10:49:00,62.9,64.15,62.1,63.0,2800,61.413966,181400,3057.9,3050.0
2025-05-27 10:50:00,63.0,65.0,62.0,65.0,7400,62.231005,181400,3060.2,3050.0
2025-05-27 10:51:00,65.0,66.0,63.5,64.0,7000,62.153805,181400,3058.5,3050.0
2025-05-27 10:52:00,64.0,64.25,60.95,61.75,6600,62.314363,179400,3054.0,3050.0
2025-05-27 10:53:00,61.75,62.6,60.6,61.8,2800,63.265915,179400,3052.4,3050.0
2025-05-27 10:54:00,62.05,63.0,61.4,63.0,5000,61.464189,179400,3057.9,3050.0
2025-05-27 10:55:00,63.0,64.0,62.25,64.0,8800,63.160865,179800,3056.8,3050.0
2025-05-27 10:56:00,64.0,64.0,56.3,56.3,15000,59.484764,179800,3048.7,3050.0
