datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-05-27 09:15:00,28.85,28.85,20.0,20.0,5600,26.963405,252200,2319.3,2320.0
2025-05-27 09:16:00,19.1,19.1,18.8,19.1,10200,30.712266,252200,2311.8,2320.0
2025-05-27 09:17:00,18.7,18.7,18.5,18.7,2200,24.62076,252200,2320.1,2320.0
2025-05-27 09:18:00,22.45,23.45,22.45,22.65,5600,31.865564,252200,2317.5,2320.0
2025-05-27 09:19:00,20.9,21.55,20.9,21.5,3800,29.322832,256400,2318.9,2320.0
2025-05-27 09:20:00,21.6,21.6,20.5,20.5,8000,30.531399,256400,2315.1,2320.0
2025-05-27 09:21:00,31.35,32.4,28.05,28.45,19800,32.44434,565200,2308.0,2300.0
2025-05-27 09:22:00,28.45,28.9,27.15,27.65,13000,32.042578,565200,2307.1,2300.0
2025-05-27 09:23:00,27.75,28.4,27.55,28.4,3400,32.384882,565200,2308.0,2300.0
2025-05-27 09:24:00,27.25,27.25,27.25,27.25,1400,31.492927,565200,2307.1,2300.0
2025-05-27 09:25:00,26.85,27.45,26.85,27.45,1000,31.540743,562200,2307.4,2300.0
2025-05-27 09:26:00,27.2,27.2,27.2,27.2,400,29.409184,562200,2309.6,2300.0
2025-05-27 09:27:00,27.5,27.5,26.0,26.0,10200,32.082107,562200,2304.1,2300.0
2025-05-27 09:28:00,25.1,25.1,25.0,25.1,5000,30.06828,562800,2305.1,2300.0
2025-05-27 09:29:00,26.4,26.4,26.4,26.4,1600,33.176149,562800,2303.4,2300.0
2025-05-27 09:30:00,25.3,25.3,23.9,23.9,8800,29.775283,562800,2303.3,2300.0
2025-05-27 09:31:00,25.25,25.25,25.25,25.25,2600,28.480863,560600,2307.4,2300.0
2025-05-27 09:32:00,17.5,18.65,17.5,18.65,6800,29.976708,276600,2312.1,2320.0
2025-05-27 09:33:00,19.3,19.3,19.3,19.3,11800,31.581402,276600,2311.0,2320.0
2025-05-27 09:34:00,17.7,18.0,17.7,18.0,6600,30.274056,273000,2310.2,2320.0
2025-05-27 09:35:00,18.95,18.95,18.95,18.95,400,31.605254,273000,2310.2,2320.0
2025-05-27 09:36:00,18.2,18.75,18.2,18.75,8400,30.89352,277200,2310.9,2320.0
2025-05-27 09:37:00,20.4,20.4,20.4,20.4,7000,30.544487,277200,2315.0,2320.0
2025-05-27 09:38:00,21.9,21.9,21.6,21.6,12000,31.607298,277200,2315.9,2320.0
2025-05-27 09:39:00,22.1,22.1,22.1,22.1,11000,31.694534,277200,2316.8,2320.0
2025-05-27 09:40:00,22.9,24.0,22.9,24.0,11200,32.096964,279400,2320.0,2320.0
2025-05-27 09:41:00,24.9,24.9,24.9,24.9,7000,34.328576,279400,2318.6,2320.0
2025-05-27 09:42:00,23.5,23.5,22.95,22.95,8600,32.060383,279400,2318.0,2320.0
2025-05-27 09:43:00,23.55,23.55,23.55,23.55,600,31.633757,285600,2319.8,2320.0
2025-05-27 09:44:00,23.6,26.1,23.6,26.1,10400,32.174342,285600,2323.9,2320.0
2025-05-27 09:45:00,26.5,26.5,26.5,26.5,3200,34.931463,285600,2320.9,2320.0
2025-05-27 09:46:00,25.3,25.3,24.9,25.3,5600,32.847235,285400,2321.5,2320.0
2025-05-27 09:47:00,25.3,25.3,24.5,24.5,200,32.324543,285400,2320.7,2320.0
2025-05-27 09:48:00,25.0,25.0,24.9,24.9,3600,31.941419,285400,2322.0,2320.0
2025-05-27 09:49:00,24.15,24.15,23.6,23.6,4000,31.592094,284000,2320.0,2320.0
2025-05-27 09:50:00,23.45,23.45,23.45,23.45,2400,32.446016,284000,2318.5,2320.0
2025-05-27 09:51:00,23.75,23.75,23.75,23.75,1000,31.30947,284000,2320.7,2320.0
2025-05-27 09:52:00,23.75,23.75,23.75,23.75,2000,32.310539,284000,2319.3,2320.0
2025-05-27 09:53:00,24.0,24.25,24.0,24.25,3400,31.287653,281200,2321.7,2320.0
2025-05-27 09:54:00,24.25,24.25,24.25,24.25,3400,30.927106,281200,2322.2,2320.0
2025-05-27 09:55:00,25.3,26.15,24.6,26.15,1400,32.076621,278400,2324.2,2320.0
2025-05-27 09:56:00,26.15,26.5,26.15,26.5,200,33.166376,278400,2323.4,2320.0
2025-05-27 09:57:00,25.6,25.6,25.6,25.6,1400,34.32832,278400,2320.1,2320.0
2025-05-27 09:58:00,24.65,24.65,24.65,24.65,4000,31.867245,278600,2321.7,2320.0
2025-05-27 09:59:00,25.15,25.15,24.85,24.85,1600,32.728969,278600,2320.9,2320.0
2025-05-27 10:00:00,24.25,24.25,24.25,24.25,1000,31.323959,278600,2321.7,2320.0
2025-05-27 10:01:00,24.9,24.9,24.9,24.9,600,34.090632,278600,2319.1,2320.0
2025-05-27 10:02:00,23.5,23.5,23.5,23.5,800,32.369592,278200,2318.8,2320.0
2025-05-27 10:03:00,23.5,24.0,23.5,24.0,1200,31.933199,278200,2320.4,2320.0
2025-05-27 10:04:00,24.0,24.0,24.0,24.0,0,31.933199,278200,2321.0,2320.0
2025-05-27 10:05:00,24.0,25.95,24.0,25.95,2000,31.624857,276800,2324.5,2320.0
2025-05-27 10:06:00,27.35,27.35,27.35,27.35,1000,32.737691,276800,2325.6,2320.0
2025-05-27 10:07:00,27.1,27.1,26.15,26.15,2000,32.291373,276800,2324.0,2320.0
2025-05-27 10:08:00,26.4,26.4,26.4,26.4,200,31.809355,276800,2325.1,2320.0
2025-05-27 10:09:00,26.2,26.2,26.2,26.2,600,31.228667,276800,2325.5,2320.0
2025-05-27 10:10:00,26.2,26.85,26.2,26.85,1000,32.062748,276800,2325.6,2320.0
2025-05-27 10:11:00,26.55,26.55,26.55,26.55,400,32.034171,276800,2325.1,2320.0
2025-05-27 10:12:00,26.4,27.05,26.4,27.05,1800,31.887783,276800,2326.2,2320.0
2025-05-27 10:13:00,26.65,26.65,26.65,26.65,600,31.567835,276200,2325.9,2320.0
2025-05-27 10:14:00,26.65,26.65,25.9,25.9,3800,31.450433,276200,2324.7,2320.0
2025-05-27 10:15:00,25.7,25.7,25.7,25.7,1400,32.009304,276200,2323.6,2320.0
2025-05-27 10:16:00,25.3,25.5,25.3,25.5,2000,32.110327,275800,2323.1,2320.0
2025-05-27 10:17:00,25.55,25.55,25.35,25.35,1200,28.585098,275800,2327.4,2320.0
2025-05-27 10:18:00,25.1,25.1,25.1,25.1,2000,30.661486,275800,2324.3,2320.0
2025-05-27 10:19:00,25.1,25.2,25.1,25.2,400,30.80594,276000,2324.3,2320.0
