datetime,open,high,low,close,volume,iv,oi,spot,strike
2022-08-30 09:15:00,25.65,25.65,25.65,25.65,1000,33.726916,110000,636.75,640.0
2022-08-30 09:16:00,25.65,25.65,25.65,25.65,0,33.726916,110000,638.8,640.0
2022-08-30 09:17:00,25.65,25.65,25.65,25.65,0,33.726916,110000,638.5,640.0
2022-08-30 09:18:00,25.65,27.35,25.65,27.35,1000,34.581862,109000,638.75,640.0
2022-08-30 09:19:00,28.0,28.1,28.0,28.1,5000,35.648516,109000,638.7,640.0
2022-08-30 09:20:00,28.05,28.05,28.05,28.05,1000,35.20575,109000,639.2,640.0
2022-08-30 09:21:00,28.05,28.05,28.05,28.05,0,35.20575,109000,638.95,640.0
2022-08-30 09:22:00,28.05,28.05,28.05,28.05,0,35.20575,109000,639.55,640.0
2022-08-30 09:23:00,28.45,28.9,28.45,28.9,3000,35.121834,105000,640.85,640.0
2022-08-30 09:24:00,29.15,29.15,29.15,29.15,3000,34.927204,105000,641.55,640.0
2022-08-30 09:25:00,29.15,29.15,29.15,29.15,2000,35.961872,105000,640.2,640.0
2022-08-30 09:26:00,29.15,29.15,29.15,29.15,0,35.961872,105000,640.75,640.0
2022-08-30 09:27:00,29.15,29.9,29.15,29.9,12000,34.829981,106000,643.0,640.0
2022-08-30 09:28:00,29.9,30.95,29.9,30.95,1000,35.999959,106000,643.35,640.0
2022-08-30 09:29:00,30.95,30.95,30.95,30.95,0,35.999959,106000,642.5,640.0
2022-08-30 09:30:00,30.95,30.95,30.9,30.9,1000,35.655877,115000,643.7,640.0
2022-08-30 09:31:00,30.9,30.9,30.85,30.85,1000,35.824457,115000,643.4,640.0
2022-08-30 09:32:00,30.85,30.85,30.5,30.5,2000,35.224757,116000,643.55,640.0
2022-08-30 09:33:00,30.5,30.5,30.5,30.5,0,35.224757,116000,643.5,640.0
2022-08-30 09:34:00,30.5,30.75,30.5,30.75,2000,35.569942,116000,643.55,640.0
2022-08-30 09:35:00,30.75,30.75,30.75,30.75,0,35.569942,116000,643.5,640.0
2022-08-30 09:36:00,30.75,30.75,30.75,30.75,0,35.569942,116000,643.2,640.0
2022-08-30 09:37:00,30.75,30.75,30.75,30.75,0,35.569942,116000,643.0,640.0
2022-08-30 09:38:00,30.75,30.75,30.75,30.75,0,35.569942,116000,643.65,640.0
2022-08-30 09:39:00,30.75,30.75,30.4,30.4,4000,35.169537,113000,643.45,640.0
2022-08-30 09:40:00,30.4,30.4,30.15,30.15,1000,34.667505,113000,643.65,640.0
2022-08-30 09:41:00,30.15,30.15,30.15,30.15,0,34.667505,113000,643.35,640.0
2022-08-30 09:42:00,30.1,30.1,30.1,30.1,1000,36.241229,111000,641.55,640.0
2022-08-30 09:43:00,30.1,30.1,30.1,30.1,0,36.241229,111000,641.9,640.0
2022-08-30 09:44:00,30.1,30.1,30.1,30.1,0,36.241229,111000,641.3,640.0
2022-08-30 09:45:00,30.1,30.1,30.1,30.1,0,36.241229,111000,641.3,640.0
2022-08-30 09:46:00,30.1,30.1,30.1,30.1,0,36.241229,111000,642.3,640.0
2022-08-30 09:47:00,30.1,30.1,30.1,30.1,0,36.241229,111000,641.6,640.0
2022-08-30 09:48:00,29.85,29.85,29.85,29.85,11000,35.939347,110000,641.5,640.0
2022-08-30 09:49:00,29.85,29.85,29.45,29.45,1000,35.390257,110000,641.5,640.0
2022-08-30 09:50:00,29.45,29.45,29.45,29.45,2000,34.887004,110000,642.15,640.0
2022-08-30 09:51:00,29.45,29.45,29.45,29.45,0,34.887004,110000,642.15,640.0
2022-08-30 09:52:00,30.1,30.1,30.1,30.1,2000,35.626049,106000,642.35,640.0
2022-08-30 09:53:00,30.1,30.1,30.1,30.1,0,35.626049,106000,641.55,640.0
2022-08-30 09:54:00,30.1,30.1,30.1,30.1,0,35.626049,106000,641.6,640.0
2022-08-30 09:55:00,30.1,30.1,30.1,30.1,0,35.626049,106000,641.65,640.0
2022-08-30 09:56:00,30.1,30.1,30.1,30.1,0,35.626049,106000,642.0,640.0
2022-08-30 09:57:00,30.1,30.1,30.1,30.1,0,35.626049,106000,642.0,640.0
2022-08-30 09:58:00,30.1,30.1,29.55,29.55,1000,35.028426,106000,642.15,640.0
2022-08-30 09:59:00,29.55,29.55,29.55,29.55,0,35.028426,106000,642.5,640.0
2022-08-30 10:00:00,30.0,30.0,30.0,30.0,1000,35.258229,105000,642.65,640.0
2022-08-30 10:01:00,30.0,30.0,30.0,30.0,0,35.258229,105000,642.85,640.0
2022-08-30 10:02:00,29.85,29.85,29.85,29.85,1000,34.935308,105000,642.8,640.0
2022-08-30 10:03:00,29.85,29.85,29.85,29.85,0,34.935308,105000,642.9,640.0
2022-08-30 10:04:00,29.85,29.85,29.85,29.85,0,34.935308,105000,642.85,640.0
2022-08-30 10:05:00,29.85,29.85,29.85,29.85,0,34.935308,105000,642.85,640.0
2022-08-30 10:06:00,29.85,29.85,29.85,29.85,2000,34.858782,105000,642.9,640.0
2022-08-30 10:07:00,29.85,29.85,29.85,29.85,0,34.858782,105000,643.0,640.0
2022-08-30 10:08:00,29.85,29.85,29.85,29.85,0,34.858782,105000,642.9,640.0
2022-08-30 10:09:00,29.85,29.85,29.85,29.85,0,34.858782,105000,642.95,640.0
2022-08-30 10:10:00,29.85,29.85,29.85,29.85,0,34.858782,105000,642.75,640.0
2022-08-30 10:11:00,29.85,29.85,29.85,29.85,0,34.858782,105000,642.8,640.0
2022-08-30 10:12:00,29.85,29.85,29.85,29.85,0,34.858782,105000,642.75,640.0
2022-08-30 10:13:00,29.85,29.85,29.85,29.85,0,34.858782,105000,642.75,640.0
2022-08-30 10:14:00,29.85,29.85,29.85,29.85,0,34.858782,105000,642.8,640.0
2022-08-30 10:15:00,29.85,29.85,29.85,29.85,0,34.858782,105000,642.75,640.0
2022-08-30 10:16:00,29.85,29.85,29.2,29.2,1000,35.059939,105000,641.5,640.0
2022-08-30 10:17:00,29.05,29.05,29.05,29.05,2000,35.008549,105000,641.3,640.0
2022-08-30 10:18:00,29.05,29.05,29.05,29.05,0,35.008549,105000,641.15,640.0
2022-08-30 10:19:00,29.05,29.05,29.05,29.05,0,35.008549,105000,641.2,640.0
2022-08-30 10:20:00,29.05,29.05,29.05,29.05,0,35.008549,105000,641.6,640.0
2022-08-30 10:21:00,29.05,29.05,29.05,29.05,0,35.008549,105000,642.05,640.0
2022-08-30 10:22:00,29.05,29.05,29.05,29.05,0,35.008549,105000,641.75,640.0
2022-08-30 10:23:00,29.05,29.05,29.05,29.05,0,35.008549,105000,642.0,640.0
2022-08-30 10:24:00,29.0,29.0,29.0,29.0,1000,34.943245,103000,641.3,640.0
2022-08-30 10:25:00,29.0,29.0,29.0,29.0,0,34.943245,103000,641.7,640.0
2022-08-30 10:26:00,29.0,29.0,29.0,29.0,0,34.943245,103000,642.0,640.0
2022-08-30 10:27:00,29.0,29.0,29.0,29.0,0,34.943245,103000,641.65,640.0
2022-08-30 10:28:00,29.0,29.0,29.0,29.0,1000,34.713529,104000,641.6,640.0
2022-08-30 10:29:00,29.0,29.0,29.0,29.0,0,34.713529,104000,641.7,640.0
2022-08-30 10:30:00,29.0,29.0,29.0,29.0,0,34.713529,104000,641.6,640.0
2022-08-30 10:31:00,29.0,29.0,29.0,29.0,0,34.713529,104000,640.75,640.0
2022-08-30 10:32:00,29.0,29.0,29.0,29.0,0,34.713529,104000,640.65,640.0
2022-08-30 10:33:00,29.0,29.0,29.0,29.0,0,34.713529,104000,641.2,640.0
2022-08-30 10:34:00,29.0,29.0,29.0,29.0,0,34.713529,104000,640.8,640.0
2022-08-30 10:35:00,29.0,29.0,29.0,29.0,0,34.713529,104000,641.3,640.0
2022-08-30 10:36:00,29.0,29.0,29.0,29.0,0,34.713529,104000,640.95,640.0
2022-08-30 10:37:00,29.0,29.0,29.0,29.0,0,34.713529,104000,641.25,640.0
2022-08-30 10:38:00,29.0,29.0,29.0,29.0,0,34.713529,104000,641.4,640.0
2022-08-30 10:39:00,29.0,29.0,29.0,29.0,0,34.713529,104000,641.05,640.0
2022-08-30 10:40:00,29.0,29.0,29.0,29.0,0,34.713529,104000,641.75,640.0
2022-08-30 10:41:00,29.0,29.65,29.0,29.65,2000,35.497593,103000,641.75,640.0
2022-08-30 10:42:00,29.65,29.65,29.65,29.65,0,35.497593,103000,641.85,640.0
2022-08-30 10:43:00,29.65,29.65,29.65,29.65,0,35.497593,103000,641.9,640.0
2022-08-30 10:44:00,29.65,29.65,29.65,29.65,0,35.497593,103000,642.0,640.0
2022-08-30 10:45:00,29.65,29.65,29.65,29.65,0,35.497593,103000,641.15,640.0
2022-08-30 10:46:00,29.65,29.65,29.65,29.65,8000,36.116497,101000,640.95,640.0
