datetime,open,high,low,close,volume,iv,oi,spot,strike
2024-04-30 09:15:00,42.95,42.95,41.5,41.5,3300,29.142699,276100,1156.1,1160.0
2024-04-30 09:16:00,42.9,44.7,42.9,43.0,9900,30.665106,276100,1155.15,1160.0
2024-04-30 09:17:00,44.1,44.35,44.1,44.35,10450,30.332165,276100,1158.45,1160.0
2024-04-30 09:18:00,44.65,45.0,43.95,43.95,13750,30.670431,271150,1156.9,1160.0
2024-04-30 09:19:00,43.6,44.25,43.6,44.25,2750,30.257306,271150,1158.45,1160.0
2024-04-30 09:20:00,44.5,44.5,44.1,44.3,12650,30.730401,271150,1157.4,1160.0
2024-04-30 09:21:00,44.65,45.65,44.65,45.65,47850,31.711515,283800,1157.5,1160.0
2024-04-30 09:22:00,45.7,46.5,45.7,46.5,29700,31.083451,283800,1160.55,1160.0
2024-04-30 09:23:00,46.1,46.15,45.9,45.9,20900,30.986804,283800,1159.7,1160.0
2024-04-30 09:24:00,46.0,47.0,46.0,47.0,17050,30.333689,261250,1163.2,1160.0
2024-04-30 09:25:00,47.05,49.95,47.05,49.95,49500,31.380406,261250,1165.95,1160.0
2024-04-30 09:26:00,48.75,50.0,48.5,49.75,43450,30.498942,261250,1167.6,1160.0
2024-04-30 09:27:00,49.75,49.8,47.25,47.25,41800,30.287335,261800,1163.75,1160.0
2024-04-30 09:28:00,47.25,49.0,47.25,49.0,11550,30.08364,261800,1167.25,1160.0
2024-04-30 09:29:00,49.8,50.5,48.95,50.25,28600,30.725585,261800,1167.95,1160.0
2024-04-30 09:30:00,50.5,50.5,50.1,50.2,19800,32.334787,261800,1164.2,1160.0
2024-04-30 09:31:00,48.2,48.2,47.85,48.15,19250,30.712848,267300,1164.35,1160.0
2024-04-30 09:32:00,48.0,48.0,48.0,48.0,13200,30.359701,267300,1164.9,1160.0
2024-04-30 09:33:00,48.3,48.85,48.3,48.85,3850,31.397331,263450,1164.0,1160.0
2024-04-30 09:34:00,48.7,49.2,48.7,48.75,9350,30.537028,263450,1165.8,1160.0
2024-04-30 09:35:00,48.7,49.3,48.7,49.3,4400,29.980775,263450,1168.0,1160.0
2024-04-30 09:36:00,49.8,49.8,48.6,48.6,29700,29.982075,255750,1166.8,1160.0
2024-04-30 09:37:00,49.25,49.25,48.6,48.6,7150,30.203843,255750,1166.3,1160.0
2024-04-30 09:38:00,48.8,48.8,48.5,48.5,5500,30.458269,255750,1165.55,1160.0
2024-04-30 09:39:00,49.9,49.9,49.35,49.35,9900,30.244098,255750,1167.5,1160.0
2024-04-30 09:40:00,49.5,51.0,49.5,50.2,17600,30.826106,249150,1167.65,1160.0
2024-04-30 09:41:00,49.1,49.4,49.1,49.4,7700,30.126877,249150,1167.85,1160.0
2024-04-30 09:42:00,49.5,49.9,49.5,49.9,6050,30.24026,244200,1168.45,1160.0
2024-04-30 09:43:00,49.4,49.4,49.4,49.4,10450,30.306281,244200,1167.45,1160.0
2024-04-30 09:44:00,49.7,49.7,49.3,49.35,2200,30.246293,244200,1167.5,1160.0
2024-04-30 09:45:00,49.25,49.75,49.25,49.75,14300,30.507339,241450,1167.6,1160.0
2024-04-30 09:46:00,48.7,48.7,48.5,48.5,2750,29.284559,241450,1168.2,1160.0
2024-04-30 09:47:00,49.5,49.5,48.5,48.7,6600,29.952081,241450,1167.05,1160.0
2024-04-30 09:48:00,49.0,49.0,49.0,49.0,4400,29.824527,241450,1167.85,1160.0
2024-04-30 09:49:00,49.1,49.5,49.1,49.5,7150,29.915222,239800,1168.5,1160.0
2024-04-30 09:50:00,49.5,49.5,49.3,49.3,8250,29.582371,239800,1168.9,1160.0
2024-04-30 09:51:00,50.25,50.25,49.7,49.7,6050,29.730491,239250,1169.25,1160.0
2024-04-30 09:52:00,50.1,50.1,49.9,49.9,2750,30.289549,239250,1168.35,1160.0
2024-04-30 09:53:00,39.7,40.7,39.7,40.7,8800,30.189988,112750,1170.55,1180.0
2024-04-30 09:54:00,40.7,40.7,39.4,39.4,550,29.414681,112750,1170.05,1180.0
2024-04-30 09:55:00,50.6,50.95,50.6,50.95,12100,30.348739,242550,1170.0,1160.0
2024-04-30 09:56:00,50.95,51.45,50.4,51.45,29150,30.867798,242550,1169.7,1160.0
2024-04-30 09:57:00,41.0,41.2,40.65,41.0,9350,30.260447,116050,1170.95,1180.0
2024-04-30 09:58:00,41.0,42.4,41.0,42.25,9900,31.09487,116050,1171.2,1180.0
2024-04-30 09:59:00,51.7,51.7,51.2,51.35,12100,30.656697,253000,1170.0,1160.0
2024-04-30 10:00:00,41.3,41.3,41.1,41.1,2750,30.142209,116050,1171.45,1180.0
2024-04-30 10:01:00,41.6,41.7,41.6,41.7,2750,30.472678,117700,1171.75,1180.0
2024-04-30 10:02:00,41.4,42.0,41.4,42.0,2750,30.403487,117700,1172.5,1180.0
2024-04-30 10:03:00,42.05,42.45,42.05,42.45,4400,30.934492,118250,1172.0,1180.0
2024-04-30 10:04:00,41.75,41.75,41.65,41.65,3300,30.300212,118250,1172.1,1180.0
2024-04-30 10:05:00,41.7,41.85,41.7,41.85,6050,30.488602,118250,1172.0,1180.0
2024-04-30 10:06:00,42.45,42.6,42.45,42.6,2200,30.988893,118250,1172.15,1180.0
2024-04-30 10:07:00,42.5,42.5,42.3,42.45,1650,30.288326,122100,1173.65,1180.0
