datetime,open,high,low,close,volume,iv,oi,spot,strike
2021-06-29 09:15:00,22.0,22.0,21.3,21.7,15600,21.158902,1364400,760.0,760.0
2021-06-29 09:16:00,21.6,21.75,21.3,21.6,22800,20.911235,1364400,760.2,760.0
2021-06-29 09:17:00,21.45,22.05,21.45,22.05,8400,21.269303,1376400,760.45,760.0
2021-06-29 09:18:00,22.05,22.05,21.7,21.75,4800,21.119216,1376400,760.15,760.0
2021-06-29 09:19:00,21.8,21.95,21.7,21.7,12000,21.389584,1376400,759.65,760.0
2021-06-29 09:20:00,21.5,22.0,21.5,22.0,7200,21.212173,1374000,760.45,760.0
2021-06-29 09:21:00,22.2,23.0,22.2,22.55,24000,21.184459,1374000,761.45,760.0
2021-06-29 09:22:00,22.45,22.45,22.0,22.0,10800,21.345088,1374000,760.25,760.0
2021-06-29 09:23:00,21.65,21.65,21.6,21.6,2400,21.209472,1374000,759.75,760.0
2021-06-29 09:24:00,21.6,21.75,21.6,21.6,6000,21.340475,1365600,759.55,760.0
2021-06-29 09:25:00,21.6,21.6,21.4,21.5,14400,21.517055,1365600,759.1,760.0
2021-06-29 09:26:00,21.45,21.55,21.45,21.55,4800,21.543005,1369200,759.15,760.0
2021-06-29 09:27:00,21.55,21.7,21.55,21.6,6000,21.406623,1369200,759.45,760.0
2021-06-29 09:28:00,21.65,21.7,21.5,21.7,7200,21.425237,1369200,759.6,760.0
2021-06-29 09:29:00,21.65,22.75,21.65,22.75,6000,21.420317,1366800,761.45,760.0
2021-06-29 09:30:00,22.55,22.55,22.35,22.55,8400,21.153746,1366800,761.5,760.0
2021-06-29 09:31:00,23.0,23.35,23.0,23.3,13200,21.280696,1366800,762.6,760.0
2021-06-29 09:32:00,23.35,23.5,23.1,23.1,13200,21.115755,1363200,762.5,760.0
2021-06-29 09:33:00,23.1,23.3,23.1,23.3,6000,20.935563,1363200,763.1,760.0
2021-06-29 09:34:00,23.55,23.55,23.25,23.25,14400,21.050713,1363200,762.85,760.0
