datetime,open,high,low,close,volume,iv,oi,spot,strike
2024-07-30 09:15:00,280.1,280.1,249.7,249.7,1275,18.156889,77250,9518.45,9500.0
2024-07-30 09:16:00,252.4,256.3,246.0,256.3,1125,18.123277,77250,9530.2,9500.0
2024-07-30 09:17:00,256.3,256.3,245.2,246.6,300,17.451898,77250,9525.9,9500.0
2024-07-30 09:18:00,246.6,255.65,246.6,252.0,600,17.509085,77475,9533.9,9500.0
2024-07-30 09:19:00,252.0,263.05,252.0,258.0,675,17.670514,77475,9541.0,9500.0
2024-07-30 09:20:00,258.0,258.0,255.0,256.9,525,18.245518,77475,9529.05,9500.0
2024-07-30 09:21:00,204.05,211.5,204.0,211.5,3975,17.914182,62400,9550.65,9600.0
2024-07-30 09:22:00,265.0,266.95,260.0,260.0,750,18.194443,77550,9535.15,9500.0
2024-07-30 09:23:00,260.0,260.75,260.0,260.75,600,18.069407,77550,9538.6,9500.0
2024-07-30 09:24:00,259.1,261.6,259.1,261.6,300,17.491209,77550,9550.0,9500.0
2024-07-30 09:25:00,217.0,217.0,216.4,217.0,1200,17.771404,62625,9563.75,9600.0
2024-07-30 09:26:00,217.0,228.0,217.0,225.75,825,18.315484,62625,9568.9,9600.0
2024-07-30 09:27:00,225.75,231.9,224.95,230.2,1125,18.41572,62325,9575.0,9600.0
2024-07-30 09:28:00,228.95,228.95,221.7,222.35,2250,18.597316,62325,9557.0,9600.0
2024-07-30 09:29:00,222.35,232.95,221.9,232.2,1500,18.498197,62325,9577.0,9600.0
2024-07-30 09:30:00,232.2,240.45,232.2,239.5,3150,18.448828,62475,9591.0,9600.0
2024-07-30 09:31:00,239.5,242.3,239.5,242.0,2325,18.798482,62475,9588.7,9600.0
2024-07-30 09:32:00,242.0,242.0,236.7,239.0,2550,18.662499,62475,9586.0,9600.0
2024-07-30 09:33:00,239.0,239.25,235.45,236.25,2025,18.789632,61500,9578.6,9600.0
2024-07-30 09:34:00,236.25,236.25,236.25,236.25,1575,18.942444,61500,9575.6,9600.0
2024-07-30 09:35:00,236.25,236.25,228.0,228.3,825,18.732294,61500,9565.3,9600.0
2024-07-30 09:36:00,228.3,230.0,220.95,220.95,675,18.727081,61500,9551.8,9600.0
2024-07-30 09:37:00,220.95,223.0,220.95,222.15,225,18.383695,61950,9561.0,9600.0
2024-07-30 09:38:00,222.15,225.0,222.15,224.85,975,18.680876,61950,9560.0,9600.0
2024-07-30 09:39:00,224.6,224.6,221.2,222.35,525,18.640054,61950,9556.2,9600.0
2024-07-30 09:40:00,222.35,222.35,220.0,220.0,300,18.484311,61950,9555.0,9600.0
2024-07-30 09:41:00,274.95,274.95,268.0,269.85,525,18.462841,80250,9546.85,9500.0
2024-07-30 09:42:00,269.85,269.85,269.85,269.85,0,18.462841,80250,9555.45,9600.0
2024-07-30 09:43:00,220.0,220.0,217.75,217.75,75,18.426523,61875,9552.0,9600.0
2024-07-30 09:44:00,220.45,220.45,220.3,220.3,600,18.512966,61875,9555.0,9600.0
2024-07-30 09:45:00,219.0,220.5,219.0,220.5,675,18.644516,61875,9552.7,9600.0
2024-07-30 09:46:00,270.05,270.05,270.05,270.05,225,18.880683,80100,9539.9,9500.0
2024-07-30 09:47:00,265.05,265.05,261.3,261.7,1200,18.36813,80175,9535.05,9500.0
2024-07-30 09:48:00,261.7,261.7,257.15,257.4,1200,18.376683,80175,9527.7,9500.0
2024-07-30 09:49:00,257.4,261.8,257.4,261.8,375,18.108096,80175,9539.8,9500.0
2024-07-30 09:50:00,261.8,261.8,258.85,258.85,150,18.379364,80175,9530.1,9500.0
2024-07-30 09:51:00,258.85,258.85,258.85,258.85,0,18.379364,80175,9535.8,9500.0
2024-07-30 09:52:00,258.85,258.85,258.85,258.85,0,18.379364,80175,9536.25,9500.0
2024-07-30 09:53:00,258.85,258.85,258.85,258.85,0,18.379364,80175,9538.55,9500.0
2024-07-30 09:54:00,258.85,258.85,258.85,258.85,0,18.379364,80175,9542.45,9500.0
2024-07-30 09:55:00,258.85,258.85,257.4,257.4,525,18.584737,79425,9524.0,9500.0
2024-07-30 09:56:00,257.4,257.4,257.1,257.1,75,17.945344,79425,9534.9,9500.0
2024-07-30 09:57:00,257.1,257.1,257.1,257.1,0,17.945344,79425,9535.65,9500.0
2024-07-30 09:58:00,257.1,264.0,257.1,263.55,300,18.415752,79725,9537.35,9500.0
2024-07-30 09:59:00,263.55,269.0,263.55,269.0,525,18.286744,79725,9548.6,9500.0
2024-07-30 10:00:00,269.0,269.0,269.0,269.0,0,18.286744,79725,9551.0,9600.0
2024-07-30 10:01:00,268.0,269.9,268.0,269.9,150,18.476698,79575,9546.8,9500.0
2024-07-30 10:02:00,216.9,216.9,213.9,215.0,225,18.268497,63675,9550.2,9600.0
2024-07-30 10:03:00,267.6,267.6,267.6,267.6,75,18.224635,79575,9547.4,9500.0
2024-07-30 10:04:00,267.6,267.6,267.6,267.6,0,18.224635,79575,9546.2,9500.0
2024-07-30 10:05:00,267.6,268.6,267.6,268.6,75,18.172287,79350,9549.95,9500.0
2024-07-30 10:06:00,268.6,269.75,266.0,267.95,300,18.107939,79500,9550.0,9500.0
2024-07-30 10:07:00,267.95,267.95,267.95,267.95,0,18.107939,79500,9544.0,9500.0
2024-07-30 10:08:00,267.95,267.95,265.25,265.25,75,18.141979,79500,9545.0,9500.0
2024-07-30 10:09:00,265.25,265.25,263.0,263.0,450,18.193423,79500,9540.4,9500.0
2024-07-30 10:10:00,211.95,215.5,211.95,215.5,75,18.130372,63600,9554.0,9600.0
2024-07-30 10:11:00,215.5,215.5,215.5,215.5,0,18.130372,63600,9552.25,9600.0
2024-07-30 10:12:00,271.65,271.65,267.65,267.65,225,18.081286,79275,9550.0,9500.0
2024-07-30 10:13:00,218.2,218.2,218.2,218.2,75,18.552468,63675,9550.45,9600.0
