datetime,open,high,low,close,volume,iv,oi,spot,strike
2024-08-27 09:15:00,21.0,21.0,16.9,16.9,9500,22.019112,449000,1688.3,1680.0
2024-08-27 09:16:00,18.5,18.5,18.3,18.3,14500,24.551832,449000,1688.5,1680.0
2024-08-27 09:17:00,17.1,17.15,16.6,16.6,15000,19.45431,449000,1689.8,1680.0
2024-08-27 09:18:00,10.2,11.45,10.2,11.45,86000,26.27143,885500,1693.55,1700.0
2024-08-27 09:19:00,11.15,11.5,11.15,11.3,156000,24.755332,892500,1695.0,1700.0
2024-08-27 09:20:00,11.5,13.05,10.1,13.0,161000,25.417997,892500,1697.85,1700.0
2024-08-27 09:21:00,12.75,14.35,12.75,14.0,132000,25.363313,853000,1699.9,1700.0
2024-08-27 09:22:00,14.15,14.45,13.25,13.55,110000,27.192603,853000,1697.05,1700.0
2024-08-27 09:23:00,13.55,14.7,13.0,14.55,174500,26.307543,853000,1700.0,1700.0
2024-08-27 09:24:00,14.7,15.3,14.0,15.3,98000,26.740998,868000,1701.0,1700.0
2024-08-27 09:25:00,15.3,15.3,13.05,14.0,96000,26.099441,868000,1699.15,1700.0
2024-08-27 09:26:00,14.0,15.65,13.8,15.3,93500,26.799386,868000,1700.95,1700.0
2024-08-27 09:27:00,15.3,15.3,14.05,14.2,98000,26.388534,839500,1699.25,1700.0
2024-08-27 09:28:00,14.2,14.8,14.2,14.65,47000,26.565703,839500,1699.95,1700.0
2024-08-27 09:29:00,14.5,14.95,14.4,14.8,94000,26.070093,839500,1700.75,1700.0
2024-08-27 09:30:00,14.95,15.1,14.5,14.5,70500,26.341009,810500,1699.9,1700.0
2024-08-27 09:31:00,14.8,14.8,11.75,11.75,182500,26.388879,810500,1694.15,1700.0
2024-08-27 09:32:00,11.95,12.7,11.9,12.35,69000,26.360238,810500,1695.5,1700.0
2024-08-27 09:33:00,12.55,12.8,12.0,12.25,27500,25.911097,783000,1695.8,1700.0
2024-08-27 09:34:00,12.25,12.6,11.85,12.0,30500,26.012979,783000,1695.15,1700.0
2024-08-27 09:35:00,12.0,12.25,10.4,10.5,69000,26.096511,783000,1691.65,1700.0
2024-08-27 09:36:00,19.15,19.15,17.15,17.15,48000,23.457863,374000,1687.6,1680.0
2024-08-27 09:37:00,17.15,17.55,14.75,14.75,22500,23.045736,374000,1683.9,1680.0
2024-08-27 09:38:00,14.75,15.25,13.5,13.6,45500,24.295431,374000,1680.6,1680.0
2024-08-27 09:39:00,13.6,14.5,12.15,13.7,42000,23.987424,392500,1681.1,1680.0
2024-08-27 09:40:00,13.9,14.25,13.45,14.1,41500,23.88521,392500,1681.95,1680.0
2024-08-27 09:41:00,14.1,14.1,11.95,12.05,42000,23.917219,392500,1677.95,1680.0
2024-08-27 09:42:00,12.05,12.45,11.65,11.85,39000,25.009881,392500,1676.35,1680.0
2024-08-27 09:43:00,11.85,12.45,11.7,11.7,14000,23.86099,422000,1677.3,1680.0
2024-08-27 09:44:00,11.75,12.8,11.5,12.6,161500,25.165297,422000,1677.75,1680.0
2024-08-27 09:45:00,12.4,12.8,11.9,12.55,44000,25.584388,422000,1677.2,1680.0
2024-08-27 09:46:00,12.7,12.7,12.1,12.2,15000,24.781704,465000,1677.35,1680.0
2024-08-27 09:47:00,12.2,12.85,12.2,12.5,23000,25.910587,465000,1676.75,1680.0
2024-08-27 09:48:00,12.3,12.55,12.3,12.45,28500,25.681982,465000,1676.9,1680.0
2024-08-27 09:49:00,12.45,12.45,11.95,12.0,9000,24.688317,477500,1677.05,1680.0
2024-08-27 09:50:00,12.0,12.7,12.0,12.5,15000,25.185913,477500,1677.55,1680.0
2024-08-27 09:51:00,12.5,12.7,12.35,12.7,17000,25.479034,477500,1677.65,1680.0
2024-08-27 09:52:00,12.6,12.65,12.25,12.6,15500,25.385389,486000,1677.55,1680.0
2024-08-27 09:53:00,12.6,12.85,12.5,12.85,17000,25.540203,486000,1677.9,1680.0
2024-08-27 09:54:00,12.8,12.8,12.6,12.65,47500,25.162408,486000,1677.9,1680.0
2024-08-27 09:55:00,12.8,12.8,12.8,12.8,13500,25.500101,492500,1677.85,1680.0
2024-08-27 09:56:00,12.65,12.7,12.6,12.7,8500,25.3601,492500,1677.8,1680.0
2024-08-27 09:57:00,12.6,12.65,12.6,12.65,25500,25.91927,492500,1677.1,1680.0
2024-08-27 09:58:00,12.65,12.75,12.65,12.75,4000,25.790773,500000,1677.45,1680.0
2024-08-27 09:59:00,12.65,12.65,11.75,12.3,36000,24.934206,500000,1677.45,1680.0
2024-08-27 10:00:00,12.6,12.6,12.45,12.45,6000,25.733403,500000,1676.9,1680.0
2024-08-27 10:01:00,12.2,12.2,11.9,12.05,19500,24.879634,488500,1677.0,1680.0
2024-08-27 10:02:00,12.2,12.2,11.8,11.8,11500,24.082308,488500,1677.35,1680.0
2024-08-27 10:03:00,12.0,12.2,11.9,12.0,21000,24.37661,488500,1677.45,1680.0
2024-08-27 10:04:00,12.0,12.05,11.85,12.05,14000,24.150245,479500,1677.8,1680.0
2024-08-27 10:05:00,11.85,11.85,11.7,11.7,7500,24.087532,479500,1677.15,1680.0
2024-08-27 10:06:00,12.0,12.05,11.35,12.05,13000,24.111546,479500,1677.85,1680.0
2024-08-27 10:07:00,12.0,12.0,11.85,11.85,7500,24.521209,479000,1677.0,1680.0
2024-08-27 10:08:00,12.0,12.2,12.0,12.1,3500,24.635111,479000,1677.4,1680.0
2024-08-27 10:09:00,12.05,12.05,11.8,11.8,10500,24.295475,479000,1677.15,1680.0
2024-08-27 10:10:00,12.0,12.2,11.85,11.85,23000,25.712682,481000,1675.7,1680.0
2024-08-27 10:11:00,11.4,11.8,11.0,11.8,22000,24.898956,481000,1676.5,1680.0
2024-08-27 10:12:00,11.8,11.95,10.7,10.7,19000,25.717146,481000,1673.15,1680.0
2024-08-27 10:13:00,10.6,10.65,9.9,10.4,25500,26.223082,485500,1671.85,1680.0
2024-08-27 10:14:00,10.4,11.15,10.3,10.75,16000,25.397421,485500,1673.65,1680.0
2024-08-27 10:15:00,10.75,10.75,9.85,9.9,13000,25.085871,485500,1672.05,1680.0
2024-08-27 10:16:00,9.9,10.1,9.75,9.8,12000,24.852574,497000,1672.1,1680.0
2024-08-27 10:17:00,9.8,9.95,9.55,9.95,5000,24.694844,497000,1672.65,1680.0
2024-08-27 10:18:00,10.15,10.25,10.0,10.25,8000,25.20203,497000,1672.75,1680.0
2024-08-27 10:19:00,10.1,10.2,10.05,10.2,20500,25.192197,494500,1672.65,1680.0
2024-08-27 10:20:00,10.3,10.3,10.05,10.2,6500,25.154577,494500,1672.7,1680.0
2024-08-27 10:21:00,10.0,10.0,10.0,10.0,5500,24.767513,494500,1672.7,1680.0
2024-08-27 10:22:00,10.05,10.6,10.0,10.6,10000,25.13962,500000,1673.65,1680.0
2024-08-27 10:23:00,10.65,10.65,10.45,10.55,7500,25.174533,500000,1673.5,1680.0
2024-08-27 10:24:00,10.65,10.65,10.65,10.65,1500,25.20256,500000,1673.7,1680.0
2024-08-27 10:25:00,10.55,10.75,10.55,10.75,13000,25.272608,503000,1673.85,1680.0
2024-08-27 10:26:00,10.3,10.3,10.2,10.2,12500,25.179844,503000,1672.7,1680.0
2024-08-27 10:27:00,10.1,10.4,10.1,10.2,10500,25.058224,503000,1672.85,1680.0
2024-08-27 10:28:00,10.2,10.25,10.2,10.25,1500,25.202256,506500,1672.8,1680.0
2024-08-27 10:29:00,19.55,19.55,17.95,18.35,7000,25.523996,342500,1668.3,1660.0
2024-08-27 10:30:00,17.5,17.8,16.6,17.8,11000,23.202307,342500,1669.25,1660.0
2024-08-27 10:31:00,17.8,17.8,16.9,17.0,2500,23.554337,343000,1667.7,1660.0
2024-08-27 10:32:00,17.0,17.35,16.45,17.35,1500,23.323587,343000,1668.45,1660.0
2024-08-27 10:33:00,17.55,17.75,16.35,16.35,4500,24.080214,343000,1666.2,1660.0
2024-08-27 10:34:00,16.35,16.35,14.8,15.4,15000,23.078162,342500,1665.45,1660.0
2024-08-27 10:35:00,14.9,15.25,14.7,14.85,16000,23.765614,342500,1663.9,1660.0
2024-08-27 10:36:00,14.85,15.55,14.85,15.1,15500,24.205537,342500,1663.95,1660.0
2024-08-27 10:37:00,14.7,15.2,14.4,15.05,28500,23.77525,339000,1664.25,1660.0
2024-08-27 10:38:00,15.05,15.5,15.05,15.1,3000,23.481508,339000,1664.6,1660.0
2024-08-27 10:39:00,15.1,15.15,15.1,15.15,3000,23.867806,339000,1664.35,1660.0
2024-08-27 10:40:00,14.95,15.2,14.95,15.2,2500,23.343853,338000,1664.9,1660.0
2024-08-27 10:41:00,15.3,15.3,15.2,15.2,6000,23.748141,338000,1664.55,1660.0
2024-08-27 10:42:00,14.85,14.85,14.7,14.7,11000,24.652931,338000,1662.85,1660.0
2024-08-27 10:43:00,14.6,15.25,14.25,15.25,15000,25.680186,339000,1662.9,1660.0
2024-08-27 10:44:00,15.25,15.25,13.0,13.25,35500,25.05307,339000,1659.75,1660.0
2024-08-27 10:45:00,13.25,13.9,13.0,13.1,31000,24.865057,339000,1659.65,1660.0
2024-08-27 10:46:00,13.1,13.35,11.3,11.9,43500,25.089662,346000,1657.0,1660.0
2024-08-27 10:47:00,11.9,12.1,11.2,12.1,52500,25.48445,346000,1657.0,1660.0
2024-08-27 10:48:00,11.9,12.05,11.35,12.0,62000,25.011709,346000,1657.3,1660.0
2024-08-27 10:49:00,12.0,12.0,11.1,11.1,34000,25.095995,350000,1655.3,1660.0
2024-08-27 10:50:00,10.85,10.85,10.3,10.5,78000,25.893692,350000,1653.05,1660.0
2024-08-27 10:51:00,10.6,10.75,10.4,10.6,18000,26.139413,350000,1653.0,1660.0
2024-08-27 10:52:00,10.4,10.6,10.1,10.6,31500,26.014769,381000,1653.15,1660.0
2024-08-27 10:53:00,10.75,10.95,10.7,10.8,64500,25.764037,381000,1653.9,1660.0
2024-08-27 10:54:00,10.8,11.0,10.8,10.8,8000,26.290498,381000,1653.3,1660.0
2024-08-27 10:55:00,10.8,12.5,10.8,12.5,41500,24.820829,388000,1658.55,1660.0
2024-08-27 10:56:00,12.5,13.3,12.5,13.1,24500,24.761739,388000,1659.8,1660.0
2024-08-27 10:57:00,13.3,15.2,13.1,14.75,31000,23.826289,388000,1663.75,1660.0
2024-08-27 10:58:00,14.85,15.0,14.5,14.8,13500,23.873267,383500,1663.8,1660.0
2024-08-27 10:59:00,14.8,16.1,14.35,16.1,31000,23.628931,383500,1666.25,1660.0
2024-08-27 11:00:00,8.5,9.9,8.5,9.9,67500,26.384736,647000,1670.7,1680.0
2024-08-27 11:01:00,9.7,10.3,9.5,9.85,64500,25.676921,620500,1671.45,1680.0
2024-08-27 11:02:00,10.05,10.85,10.05,10.6,61500,26.077606,620500,1672.75,1680.0
2024-08-27 11:03:00,10.6,11.1,9.6,9.95,77500,26.334691,620500,1670.9,1680.0
2024-08-27 11:04:00,9.95,10.55,9.7,9.7,39000,25.882108,606500,1670.85,1680.0
2024-08-27 11:05:00,9.7,9.75,9.05,9.65,45500,25.66484,606500,1671.0,1680.0
2024-08-27 11:06:00,9.65,10.2,9.65,9.9,33500,25.46769,606500,1671.85,1680.0
2024-08-27 11:07:00,9.9,10.4,9.9,10.4,12000,25.324076,597500,1673.2,1680.0
2024-08-27 11:08:00,11.6,11.8,11.2,11.8,91000,24.67909,597500,1677.0,1680.0
2024-08-27 11:09:00,11.65,14.0,11.65,13.65,48000,24.465641,597500,1680.9,1680.0
2024-08-27 11:10:00,13.7,14.0,13.25,13.9,16500,24.491713,569500,1681.35,1680.0
2024-08-27 11:11:00,13.8,14.3,13.8,14.15,14500,24.303504,569500,1682.0,1680.0
2024-08-27 11:12:00,14.3,15.5,14.3,15.15,34000,23.705939,569500,1684.35,1680.0
2024-08-27 11:13:00,15.15,16.5,15.15,15.25,41000,24.184817,555500,1684.1,1680.0
2024-08-27 11:14:00,15.25,16.1,15.25,15.55,53000,23.649286,555500,1685.1,1680.0
2024-08-27 11:15:00,15.95,15.95,14.65,14.85,44500,23.688413,555500,1683.85,1680.0
2024-08-27 11:16:00,14.9,14.9,13.15,13.25,52000,23.153839,556500,1681.45,1680.0
2024-08-27 11:17:00,13.25,14.2,13.25,14.1,16500,23.326461,556500,1682.85,1680.0
2024-08-27 11:18:00,14.4,14.4,12.45,13.2,62000,23.887131,556500,1680.65,1680.0
2024-08-27 11:19:00,13.2,15.9,13.0,15.9,15500,24.529596,551500,1684.95,1680.0
2024-08-27 11:20:00,15.75,16.85,15.3,16.85,17000,22.657463,551500,1688.1,1680.0
2024-08-27 11:21:00,16.85,17.85,16.5,17.6,25000,23.610418,551500,1688.55,1680.0
2024-08-27 11:22:00,9.5,9.85,8.8,9.85,26000,26.142796,729500,1690.6,1700.0
2024-08-27 11:23:00,18.0,18.8,17.6,18.25,24500,23.062213,550000,1690.0,1680.0
2024-08-27 11:24:00,9.6,10.0,9.6,9.85,9000,26.31231,729500,1690.4,1700.0
2024-08-27 11:25:00,9.85,10.4,9.85,10.35,21500,26.491689,722000,1691.4,1700.0
2024-08-27 11:26:00,10.35,10.7,9.6,10.55,31500,25.473152,722000,1693.1,1700.0
2024-08-27 11:27:00,10.65,11.3,10.3,11.15,42000,25.397644,722000,1694.55,1700.0
2024-08-27 11:28:00,11.25,12.95,11.25,12.95,65500,25.970193,717000,1697.75,1700.0
2024-08-27 11:29:00,12.95,13.75,12.7,13.65,67500,25.835429,717000,1699.3,1700.0
2024-08-27 11:30:00,13.65,14.55,13.65,14.4,54000,26.6396,717000,1699.95,1700.0
2024-08-27 11:31:00,14.55,14.9,13.4,13.75,81000,25.349692,694500,1700.0,1700.0
2024-08-27 11:32:00,13.75,16.1,13.6,15.85,113000,25.401776,694500,1703.85,1700.0
2024-08-27 11:33:00,15.75,16.0,14.05,14.05,63500,24.422355,694500,1701.5,1700.0
2024-08-27 11:34:00,14.2,15.3,14.2,14.95,58500,24.587803,658000,1703.0,1700.0
2024-08-27 11:35:00,14.95,15.95,14.95,15.7,24500,25.233528,658000,1703.75,1700.0
2024-08-27 11:36:00,15.7,17.05,15.7,16.8,58000,26.493561,658000,1704.55,1700.0
2024-08-27 11:37:00,16.8,17.85,16.45,17.35,58000,27.068018,665000,1705.0,1700.0
2024-08-27 11:38:00,17.15,18.45,17.0,18.15,51000,26.821561,665000,1706.6,1700.0
2024-08-27 11:39:00,18.15,19.75,18.05,19.3,75000,27.086902,665000,1708.3,1700.0
2024-08-27 11:40:00,19.3,19.35,17.8,17.8,70500,25.381709,692000,1707.25,1700.0
2024-08-27 11:41:00,17.95,17.95,15.75,15.95,59000,26.547772,692000,1703.0,1700.0
2024-08-27 11:42:00,15.5,16.65,15.4,16.4,34500,25.243778,692000,1705.0,1700.0
2024-08-27 11:43:00,16.4,16.9,16.25,16.45,29500,25.457483,693500,1704.9,1700.0
2024-08-27 11:44:00,16.6,17.85,16.6,17.75,20000,24.396094,693500,1708.0,1700.0
2024-08-27 11:45:00,17.75,18.0,17.3,17.5,21500,25.285436,693500,1706.85,1700.0
2024-08-27 11:46:00,17.5,17.5,16.2,16.4,10000,24.752756,696000,1705.45,1700.0
2024-08-27 11:47:00,16.4,17.5,16.2,16.9,33500,24.582557,696000,1706.45,1700.0
2024-08-27 11:48:00,17.0,17.0,15.35,15.35,31000,24.393634,696000,1703.95,1700.0
2024-08-27 11:49:00,15.35,15.4,14.3,15.0,37500,25.80293,719000,1702.0,1700.0
