datetime,open,high,low,close,volume,iv,oi,spot,strike
2023-10-31 09:16:00,7.85,7.85,7.85,7.85,7500,25.22571,857500,216.25,215.0
2023-10-31 09:17:00,7.6,7.7,7.6,7.7,22500,25.09288,857500,216.05,215.0
2023-10-31 09:18:00,7.8,7.85,7.65,7.85,37500,24.610479,855000,216.5,215.0
2023-10-31 09:19:00,7.85,8.0,7.85,8.0,12500,25.60239,855000,216.35,215.0
2023-10-31 09:20:00,7.75,7.85,7.75,7.85,15000,25.591997,835000,216.1,215.0
2023-10-31 09:21:00,7.85,8.0,7.85,8.0,17500,24.7352,835000,216.7,215.0
2023-10-31 09:22:00,8.15,8.2,8.15,8.15,15000,25.855525,835000,216.5,215.0
2023-10-31 09:23:00,8.15,8.25,8.15,8.25,25000,25.524451,837500,216.8,215.0
2023-10-31 09:24:00,8.2,8.2,8.2,8.2,12500,24.16724,837500,217.25,215.0
2023-10-31 09:25:00,8.2,8.2,8.15,8.15,5000,24.602306,837500,217.0,215.0
2023-10-31 09:26:00,8.15,8.2,8.15,8.2,2500,26.431876,837500,216.35,215.0
2023-10-31 09:27:00,8.0,8.2,8.0,8.2,15000,25.693174,822500,216.65,215.0
2023-10-31 09:28:00,8.15,8.15,8.15,8.15,2500,26.469601,822500,216.25,215.0
2023-10-31 09:29:00,8.0,8.0,7.95,8.0,7500,24.863534,827500,216.65,215.0
2023-10-31 09:30:00,8.05,8.05,8.05,8.05,2500,25.690837,827500,216.4,215.0
2023-10-31 09:31:00,8.0,8.0,7.8,7.8,7500,25.268561,827500,216.15,215.0
2023-10-31 09:32:00,7.8,7.8,7.55,7.65,55000,25.013151,805000,216.0,215.0
2023-10-31 09:33:00,7.55,7.65,7.55,7.65,12500,25.013531,805000,216.0,215.0
2023-10-31 09:34:00,7.7,7.7,7.7,7.7,5000,24.612128,805000,216.25,215.0
2023-10-31 09:35:00,7.9,8.5,7.9,8.5,37500,24.779294,792500,217.5,215.0
2023-10-31 09:36:00,8.55,8.7,8.55,8.55,20000,25.509162,792500,217.3,215.0
2023-10-31 09:37:00,6.1,6.25,6.1,6.25,47500,25.934149,2270000,217.7,220.0
2023-10-31 09:38:00,6.2,6.25,6.2,6.25,37500,25.428908,2215000,217.95,220.0
2023-10-31 09:39:00,6.25,6.3,6.2,6.3,112500,25.527303,2215000,218.0,220.0
2023-10-31 09:40:00,6.3,6.35,6.3,6.35,20000,25.420676,2215000,218.15,220.0
2023-10-31 09:41:00,6.3,6.3,6.25,6.25,62500,25.226272,2207500,218.05,220.0
2023-10-31 09:42:00,6.3,6.35,6.3,6.3,37500,25.221709,2207500,218.15,220.0
2023-10-31 09:43:00,6.35,6.4,6.25,6.25,35000,25.532316,2207500,217.9,220.0
2023-10-31 09:44:00,6.25,6.5,6.25,6.5,60000,25.297092,2202500,218.5,220.0
2023-10-31 09:45:00,6.35,6.35,6.35,6.35,35000,25.216885,2202500,218.25,220.0
2023-10-31 09:46:00,6.25,6.25,6.1,6.1,52500,25.638001,2202500,217.55,220.0
