datetime,open,high,low,close,volume,iv,oi,spot,strike
2020-12-29 09:16:00,1.4,1.45,1.4,1.45,32800,61.417718,2050000,63.4,63.0
2020-12-29 09:17:00,1.45,1.45,1.4,1.4,49200,57.414799,2050000,63.45,63.0
2020-12-29 09:18:00,1.05,1.05,1.0,1.05,49200,59.879746,1115200,63.65,64.0
2020-12-29 09:19:00,1.45,1.45,1.45,1.45,32800,58.509944,2050000,63.5,63.0
2020-12-29 09:20:00,1.45,1.45,1.35,1.35,8200,56.352893,2041800,63.4,63.0
2020-12-29 09:21:00,1.35,1.4,1.35,1.4,24600,58.915483,2041800,63.4,63.0
2020-12-29 09:22:00,1.4,1.4,1.4,1.4,16400,57.46069,2041800,63.45,63.0
2020-12-29 09:23:00,1.0,1.05,1.0,1.05,90200,61.098083,1123400,63.6,64.0
2020-12-29 09:24:00,1.05,1.1,1.05,1.1,49200,60.062693,1123400,63.75,64.0
2020-12-29 09:25:00,1.1,1.1,1.1,1.1,49200,63.635798,1123400,63.6,64.0
2020-12-29 09:26:00,1.1,1.1,1.1,1.1,90200,64.811236,1148000,63.55,64.0
2020-12-29 09:27:00,1.6,1.6,1.55,1.55,8200,63.713387,2000800,63.5,63.0
2020-12-29 09:28:00,1.1,1.1,1.1,1.1,8200,64.831764,1148000,63.55,64.0
2020-12-29 09:29:00,1.1,1.1,1.1,1.1,0,64.831764,1148000,63.5,63.0
2020-12-29 09:30:00,1.1,1.1,1.1,1.1,32800,64.852311,1172600,63.55,64.0
2020-12-29 09:31:00,1.1,1.1,1.1,1.1,24600,63.696349,1172600,63.6,64.0
2020-12-29 09:32:00,1.55,1.55,1.55,1.55,8200,63.764272,1992600,63.5,63.0
2020-12-29 09:33:00,1.1,1.1,1.1,1.1,24600,62.539044,1172600,63.65,64.0
2020-12-29 09:34:00,1.1,1.15,1.1,1.15,24600,66.247324,1172600,63.6,64.0
2020-12-29 09:35:00,1.1,1.2,1.1,1.2,32800,67.590963,1197200,63.65,64.0
2020-12-29 09:36:00,1.2,1.2,1.1,1.1,32800,62.568872,1197200,63.65,64.0
2020-12-29 09:37:00,1.2,1.2,1.2,1.2,8200,69.976524,1197200,63.55,64.0
2020-12-29 09:38:00,1.2,1.2,1.2,1.2,0,69.976524,1197200,63.5,64.0
2020-12-29 09:39:00,1.2,1.2,1.2,1.2,0,69.976524,1197200,63.35,63.0
2020-12-29 09:40:00,1.2,1.2,1.2,1.2,0,69.976524,1197200,63.35,63.0
2020-12-29 09:41:00,1.0,1.1,1.0,1.1,16400,61.428159,1230000,63.7,64.0
2020-12-29 09:42:00,1.15,1.4,1.15,1.4,123000,71.561869,1230000,63.9,64.0
2020-12-29 09:43:00,1.4,1.4,1.4,1.4,24600,75.308799,1230000,63.75,64.0
2020-12-29 09:44:00,1.4,1.4,1.25,1.25,41000,65.324904,1230000,63.85,64.0
2020-12-29 09:45:00,1.25,1.25,1.25,1.25,0,65.324904,1230000,64.0,64.0
2020-12-29 09:46:00,1.35,1.4,1.3,1.4,41000,65.12084,1230000,64.15,64.0
2020-12-29 09:47:00,1.45,1.45,1.4,1.45,57400,67.634771,1213600,64.15,64.0
2020-12-29 09:48:00,1.45,1.5,1.45,1.45,98400,68.971772,1213600,64.1,64.0
2020-12-29 09:49:00,1.5,1.5,1.45,1.45,180400,71.591653,1213600,64.0,64.0
2020-12-29 09:50:00,1.45,1.45,1.4,1.4,114800,69.099243,1328400,64.0,64.0
2020-12-29 09:51:00,1.4,1.4,1.35,1.35,114800,65.308937,1328400,64.05,64.0
2020-12-29 09:52:00,1.4,1.45,1.4,1.45,24600,67.688855,1328400,64.15,64.0
2020-12-29 09:53:00,1.5,1.5,1.45,1.45,16400,69.026891,1402200,64.1,64.0
2020-12-29 09:54:00,1.45,1.45,1.45,1.45,8200,67.710523,1402200,64.15,64.0
2020-12-29 09:55:00,1.45,1.45,1.45,1.45,8200,70.361643,1402200,64.05,64.0
2020-12-29 09:56:00,1.45,1.45,1.4,1.4,172200,66.553938,1402200,64.1,64.0
2020-12-29 09:57:00,1.4,1.4,1.35,1.35,32800,65.37172,1402200,64.05,64.0
2020-12-29 09:58:00,1.4,1.4,1.4,1.4,24600,69.187651,1402200,64.0,64.0
2020-12-29 09:59:00,1.4,1.45,1.4,1.45,8200,69.093202,1287400,64.1,64.0
2020-12-29 10:00:00,1.45,1.45,1.45,1.45,24600,67.775649,1287400,64.15,64.0
2020-12-29 10:01:00,1.45,1.45,1.45,1.45,24600,70.429219,1287400,64.05,64.0
2020-12-29 10:02:00,1.45,1.45,1.4,1.4,131200,66.618002,1312000,64.1,64.0
2020-12-29 10:03:00,1.4,1.4,1.4,1.4,8200,67.943231,1312000,64.05,64.0
2020-12-29 10:04:00,1.4,1.4,1.35,1.35,8200,65.445188,1312000,64.05,64.0
2020-12-29 10:05:00,1.35,1.35,1.35,1.35,0,65.445188,1312000,64.0,64.0
2020-12-29 10:06:00,1.35,1.35,1.35,1.35,41000,65.466223,1336600,64.05,64.0
2020-12-29 10:07:00,1.35,1.4,1.35,1.4,98400,66.671525,1336600,64.1,64.0
2020-12-29 10:08:00,1.4,1.4,1.4,1.4,0,66.671525,1336600,64.05,64.0
2020-12-29 10:09:00,1.4,1.4,1.3,1.35,65600,65.497811,1402200,64.05,64.0
2020-12-29 10:10:00,1.35,1.35,1.35,1.35,49200,65.50835,1402200,64.05,64.0
