datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-09-29 09:15:00,15.25,20.0,15.25,19.0,4550,34.456323,241800,1509.7,1500.0
2025-09-29 09:16:00,19.0,20.0,19.0,20.0,25675,34.775268,241800,1511.1,1500.0
2025-09-29 09:17:00,20.0,20.0,20.0,20.0,10725,36.695947,241800,1510.0,1500.0
2025-09-29 09:18:00,20.0,20.0,17.8,17.8,29250,33.241854,241800,1508.5,1500.0
2025-09-29 09:19:00,17.8,21.0,17.8,20.0,21450,38.875018,241150,1508.7,1500.0
2025-09-29 09:20:00,20.0,20.85,18.2,20.85,39325,36.279158,241150,1511.6,1500.0
2025-09-29 09:21:00,20.85,21.0,20.5,20.5,37050,32.715039,233675,1513.0,1500.0
2025-09-29 09:22:00,20.5,20.55,20.5,20.55,40625,33.438187,233675,1512.7,1500.0
2025-09-29 09:23:00,20.55,21.9,20.55,21.9,42900,26.45008,233675,1517.8,1500.0
2025-09-29 09:24:00,21.9,23.6,21.9,22.95,62075,24.581834,232050,1519.8,1500.0
2025-09-29 09:25:00,22.95,29.0,22.95,26.85,63700,25.275473,232050,1524.3,1500.0
2025-09-29 09:26:00,26.85,26.85,24.6,25.75,67925,25.607213,232050,1522.9,1500.0
2025-09-29 09:27:00,25.75,25.75,25.1,25.3,65325,26.448395,232050,1522.1,1500.0
2025-09-29 09:28:00,6.65,7.4,6.65,7.4,58175,42.998643,229450,1525.2,1550.0
2025-09-29 09:29:00,7.4,7.95,7.4,7.95,96850,43.510481,229450,1526.5,1550.0
2025-09-29 09:30:00,7.95,9.45,7.95,9.45,84825,47.163707,249275,1527.3,1550.0
2025-09-29 09:31:00,28.7,28.7,27.65,27.65,77675,28.94514,232700,1524.2,1500.0
2025-09-29 09:32:00,27.65,27.65,24.6,25.95,92300,25.440511,232700,1523.2,1500.0
2025-09-29 09:33:00,25.95,25.95,24.0,24.0,79300,18.45833,232375,1522.6,1500.0
2025-09-29 09:34:00,24.0,26.05,24.0,25.0,94575,18.453016,232375,1523.7,1500.0
2025-09-29 09:35:00,7.55,8.15,7.55,8.15,154050,45.410191,238550,1525.1,1550.0
2025-09-29 09:36:00,27.45,27.55,27.15,27.55,95875,37.113304,232375,1521.0,1500.0
2025-09-29 09:37:00,27.55,27.55,24.7,24.7,80925,30.570047,231725,1519.9,1500.0
2025-09-29 09:38:00,24.7,24.7,22.0,22.0,97825,27.902977,231725,1517.4,1500.0
2025-09-29 09:39:00,22.0,22.0,22.0,22.0,0,21.552596,231725,1519.6,1500.0
2025-09-29 09:40:00,22.0,24.0,22.0,24.0,179075,27.934436,231725,1520.0,1500.0
2025-09-29 09:41:00,24.0,24.0,23.8,23.8,975,25.467133,231725,1520.6,1500.0
2025-09-29 09:42:00,23.8,23.8,23.8,23.8,0,27.240218,232050,1520.0,1500.0
2025-09-29 09:43:00,23.8,23.8,23.8,23.8,0,32.285815,232050,1518.0,1500.0
2025-09-29 09:44:00,23.8,23.8,20.7,20.7,184275,24.595537,232050,1517.0,1500.0
2025-09-29 09:45:00,20.7,20.7,20.7,20.7,0,22.311916,232050,1517.8,1500.0
2025-09-29 09:46:00,20.7,21.3,20.7,21.3,186225,22.441258,231725,1518.5,1500.0
2025-09-29 09:47:00,21.3,23.85,21.3,23.85,1625,24.091874,231725,1521.1,1500.0
2025-09-29 09:48:00,23.85,23.9,23.85,23.9,186550,27.640014,231725,1520.0,1500.0
2025-09-29 09:49:00,23.9,24.7,23.9,24.0,3250,21.819338,232375,1521.9,1500.0
2025-09-29 09:50:00,24.0,24.0,24.0,24.0,0,19.606803,232375,1522.4,1500.0
2025-09-29 09:51:00,24.0,25.3,24.0,25.3,190450,25.63917,232375,1522.4,1500.0
2025-09-29 09:52:00,25.3,26.75,25.3,26.75,2600,25.767955,232375,1524.1,1500.0
2025-09-29 09:53:00,26.75,26.9,26.75,26.9,193050,29.041141,232375,1523.3,1500.0
2025-09-29 09:54:00,6.6,6.75,6.6,6.75,179075,40.93488,260650,1525.6,1550.0
2025-09-29 09:55:00,6.75,6.75,6.75,6.75,0,39.993909,260650,1526.7,1550.0
2025-09-29 09:56:00,27.5,28.2,26.0,26.0,200200,21.348889,231400,1524.3,1500.0
2025-09-29 09:57:00,26.0,26.0,22.75,23.15,1950,17.826078,231400,1521.8,1500.0
2025-09-29 09:58:00,23.15,23.85,23.15,23.85,200525,22.746063,230750,1521.5,1500.0
2025-09-29 09:59:00,23.85,23.85,23.85,23.85,0,26.68276,230750,1520.3,1500.0
2025-09-29 10:00:00,23.85,23.85,21.45,21.45,207675,13.31812,230750,1520.6,1500.0
2025-09-29 10:01:00,21.45,21.45,21.45,21.45,0,21.131194,230750,1519.1,1500.0
2025-09-29 10:02:00,21.45,21.45,20.8,20.8,208000,12.478485,229775,1520.0,1500.0
2025-09-29 10:03:00,20.8,23.15,20.8,23.15,325,22.305332,229775,1520.8,1500.0
2025-09-29 10:04:00,23.15,23.15,23.15,23.15,0,27.589417,229775,1519.1,1500.0
2025-09-29 10:05:00,23.15,23.15,23.15,23.15,0,27.049187,229775,1519.3,1500.0
2025-09-29 10:06:00,23.15,23.15,20.5,20.5,209625,17.075419,229450,1519.0,1500.0
2025-09-29 10:07:00,20.5,22.3,20.5,21.45,1300,24.057839,229775,1518.2,1500.0
2025-09-29 10:08:00,21.45,21.45,19.95,19.95,210925,22.927665,229775,1516.7,1500.0
2025-09-29 10:09:00,19.95,19.95,18.35,18.5,2275,21.952844,229775,1515.2,1500.0
2025-09-29 10:10:00,18.5,19.85,18.5,19.85,214175,22.863738,228800,1516.6,1500.0
2025-09-29 10:11:00,19.85,19.85,19.0,19.0,2600,24.19274,228800,1515.0,1500.0
2025-09-29 10:12:00,19.0,19.0,19.0,19.0,0,24.448156,228800,1514.9,1500.0
