datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-07-01 09:15:00,13.7,14.6,13.7,14.0,230850,25.027555,2109000,425.0,425.0
2025-07-01 09:16:00,14.5,15.45,14.5,15.45,330600,25.54073,2109000,427.1,425.0
2025-07-01 09:17:00,15.45,15.6,15.3,15.3,501600,25.835295,2109000,426.6,425.0
2025-07-01 09:18:00,15.1,15.15,14.85,15.15,253650,25.09871,2319900,426.95,425.0
2025-07-01 09:19:00,15.15,15.15,14.85,15.0,102600,25.332034,2319900,426.5,425.0
2025-07-01 09:20:00,14.75,14.75,14.75,14.75,111150,26.118017,2319900,425.4,425.0
2025-07-01 09:21:00,14.45,14.45,14.4,14.4,342000,25.157794,2411100,425.6,425.0
2025-07-01 09:22:00,14.75,14.95,14.75,14.95,136800,25.289295,2411100,426.45,425.0
2025-07-01 09:23:00,15.05,15.05,15.05,15.05,68400,25.135442,2411100,426.75,425.0
2025-07-01 09:24:00,15.1,15.3,15.1,15.3,136800,25.352955,2442450,427.0,425.0
2025-07-01 09:25:00,13.5,13.65,13.15,13.15,763800,25.466158,5235450,427.75,430.0
2025-07-01 09:26:00,13.05,13.2,13.0,13.1,273600,25.472763,5235450,427.65,430.0
2025-07-01 09:27:00,15.7,15.7,15.45,15.45,148200,25.422553,2402550,427.2,425.0
2025-07-01 09:28:00,15.35,15.35,15.1,15.2,105450,25.691628,2402550,426.55,425.0
2025-07-01 09:29:00,14.9,14.9,14.9,14.9,88350,25.187876,2402550,426.45,425.0
2025-07-01 09:30:00,15.05,15.1,15.05,15.1,119700,25.423876,2448150,426.6,425.0
2025-07-01 09:31:00,12.7,13.2,12.7,13.15,230850,25.522603,5523300,427.7,430.0
2025-07-01 09:32:00,13.15,13.3,13.1,13.25,208050,25.618713,5523300,427.8,430.0
2025-07-01 09:33:00,13.2,13.8,13.2,13.8,379050,25.9759,5605950,428.5,430.0
2025-07-01 09:34:00,13.7,14.25,13.7,14.1,701100,25.922168,5605950,429.1,430.0
2025-07-01 09:35:00,14.1,14.65,14.0,14.65,786600,26.200125,5605950,429.85,430.0
2025-07-01 09:36:00,14.65,15.2,14.25,15.05,1026000,25.924606,5406450,430.8,430.0
2025-07-01 09:37:00,15.2,16.2,15.1,15.95,1216950,26.354989,5406450,432.0,430.0
2025-07-01 09:38:00,13.45,14.2,13.45,13.75,721050,26.399037,1692900,432.7,435.0
2025-07-01 09:39:00,13.75,14.5,13.65,14.35,430350,26.472143,1895250,433.75,435.0
2025-07-01 09:40:00,14.5,14.75,14.15,14.45,718200,26.838789,1895250,433.6,435.0
2025-07-01 09:41:00,14.45,15.15,14.4,15.1,555750,26.934678,1895250,434.7,435.0
2025-07-01 09:42:00,15.1,15.25,14.8,14.9,404700,26.921562,2057700,434.35,435.0
2025-07-01 09:43:00,14.9,14.95,14.5,14.9,290700,26.866317,2057700,434.4,435.0
2025-07-01 09:44:00,14.9,14.9,14.55,14.8,142500,26.831355,2057700,434.25,435.0
2025-07-01 09:45:00,14.8,14.85,14.5,14.6,279300,26.483058,2131800,434.2,435.0
2025-07-01 09:46:00,14.6,15.5,14.6,15.25,467400,27.071597,2131800,434.85,435.0
2025-07-01 09:47:00,15.3,15.45,14.9,15.1,299250,26.937055,2131800,434.7,435.0
2025-07-01 09:48:00,15.1,15.25,14.9,15.2,219450,26.745713,2339850,435.05,435.0
2025-07-01 09:49:00,15.2,15.45,15.0,15.45,242250,27.195496,2339850,435.1,435.0
2025-07-01 09:50:00,15.4,15.75,15.0,15.1,447450,26.938244,2339850,434.7,435.0
2025-07-01 09:51:00,15.1,15.45,15.0,15.4,190950,27.320753,2442450,434.9,435.0
