datetime,open,high,low,close,volume,iv,oi,spot,strike
2024-08-27 09:15:00,10.0,15.0,10.0,15.0,15000,33.329191,543500,1634.55,1640.0
2024-08-27 09:16:00,12.0,12.9,12.0,12.05,7000,29.179754,542000,1632.7,1640.0
2024-08-27 09:17:00,11.8,11.8,11.5,11.5,2500,27.881817,542000,1632.95,1640.0
2024-08-27 09:18:00,11.65,11.8,11.65,11.8,4500,29.509661,542000,1631.75,1640.0
2024-08-27 09:19:00,11.65,12.2,11.65,12.2,6000,29.098972,539000,1633.15,1640.0
2024-08-27 09:20:00,12.2,12.2,11.75,12.1,1000,29.686003,539000,1632.25,1640.0
2024-08-27 09:21:00,12.1,12.1,11.8,11.8,3000,28.275622,539000,1633.2,1640.0
2024-08-27 09:22:00,11.9,11.9,11.8,11.8,2500,28.193087,540500,1633.3,1640.0
2024-08-27 09:23:00,11.8,11.95,10.9,10.9,8500,28.872059,540500,1630.4,1640.0
2024-08-27 09:24:00,10.9,11.05,10.6,11.05,6000,29.177328,540500,1630.4,1640.0
2024-08-27 09:25:00,10.4,11.45,10.4,11.45,20500,29.481046,542000,1631.0,1640.0
2024-08-27 09:26:00,11.05,11.15,11.0,11.15,8000,28.886921,542000,1631.0,1640.0
2024-08-27 09:27:00,11.15,11.15,11.15,11.15,0,28.886921,542000,1628.95,1620.0
2024-08-27 09:28:00,19.3,19.3,18.2,18.2,500,25.856607,186000,1628.1,1620.0
2024-08-27 09:29:00,18.2,18.45,18.1,18.1,1500,25.656659,186000,1628.1,1620.0
2024-08-27 09:30:00,18.1,18.75,18.1,18.75,2000,26.613401,186000,1628.4,1620.0
2024-08-27 09:31:00,18.15,18.15,18.15,18.15,500,27.117904,184000,1627.0,1620.0
2024-08-27 09:32:00,18.15,18.8,18.15,18.8,1500,25.382577,184000,1629.45,1620.0
2024-08-27 09:33:00,18.8,18.8,18.8,18.8,0,25.382577,184000,1630.05,1640.0
2024-08-27 09:34:00,18.95,18.95,18.95,18.95,500,26.025556,184000,1629.2,1620.0
2024-08-27 09:35:00,18.95,18.95,18.65,18.65,500,25.988725,183500,1628.75,1620.0
2024-08-27 09:36:00,18.65,18.65,18.65,18.65,0,25.988725,183500,1628.95,1620.0
2024-08-27 09:37:00,18.6,18.6,18.35,18.35,3000,26.389463,184000,1627.95,1620.0
2024-08-27 09:38:00,18.35,18.35,18.35,18.35,0,26.389463,184000,1628.55,1620.0
2024-08-27 09:39:00,18.45,18.45,18.45,18.45,1000,25.530828,184000,1628.8,1620.0
2024-08-27 09:40:00,18.45,18.45,18.45,18.45,0,25.530828,184000,1626.6,1620.0
2024-08-27 09:41:00,18.45,18.45,18.0,18.1,1000,26.083452,183000,1627.8,1620.0
2024-08-27 09:42:00,17.0,17.0,17.0,17.0,5500,27.71836,183000,1624.55,1620.0
2024-08-27 09:43:00,16.2,17.4,15.3,17.4,16500,26.495262,182500,1626.3,1620.0
2024-08-27 09:44:00,17.3,17.3,17.3,17.3,500,25.452934,182500,1627.0,1620.0
2024-08-27 09:45:00,18.1,18.1,18.1,18.1,500,25.72634,182500,1628.1,1620.0
2024-08-27 09:46:00,18.1,18.1,17.8,17.9,1000,26.80065,184000,1626.9,1620.0
2024-08-27 09:47:00,17.9,18.2,17.9,18.2,1000,25.434191,184000,1628.5,1620.0
2024-08-27 09:48:00,18.2,18.4,18.2,18.4,1500,25.849959,184000,1628.5,1620.0
2024-08-27 09:49:00,18.35,18.6,18.35,18.5,2000,25.484528,183500,1628.95,1620.0
2024-08-27 09:50:00,18.4,18.4,18.4,18.4,500,24.825933,183500,1629.3,1620.0
2024-08-27 09:51:00,11.1,11.3,11.1,11.3,3500,28.798693,557500,1631.6,1640.0
2024-08-27 09:52:00,11.5,11.5,11.2,11.2,6000,29.152358,560000,1630.95,1640.0
2024-08-27 09:53:00,11.2,11.35,11.2,11.35,8000,28.094919,560000,1632.55,1640.0
2024-08-27 09:54:00,11.45,11.45,11.1,11.35,40500,28.870355,560000,1631.65,1640.0
2024-08-27 09:55:00,11.05,11.4,11.05,11.4,5500,27.421479,547000,1633.45,1640.0
2024-08-27 09:56:00,11.55,11.55,11.4,11.4,44000,26.720657,547000,1634.25,1640.0
2024-08-27 09:57:00,11.35,11.35,10.6,10.6,15000,27.129387,547000,1631.95,1640.0
2024-08-27 09:58:00,10.35,10.35,10.15,10.15,3500,27.770951,511500,1630.1,1640.0
2024-08-27 09:59:00,10.4,10.45,10.4,10.45,3000,28.134911,511500,1630.4,1640.0
2024-08-27 10:00:00,10.6,10.6,10.6,10.6,500,27.901009,511500,1631.05,1640.0
2024-08-27 10:01:00,10.6,10.7,10.6,10.7,2500,27.049467,508000,1632.3,1640.0
2024-08-27 10:02:00,10.7,10.7,10.35,10.35,8500,26.566245,508000,1632.05,1640.0
2024-08-27 10:03:00,10.35,10.35,10.35,10.35,2500,27.328034,508000,1631.15,1640.0
2024-08-27 10:04:00,10.35,10.35,10.35,10.35,0,27.328034,508000,1631.05,1640.0
2024-08-27 10:05:00,10.35,10.35,10.35,10.35,0,27.328034,508000,1630.0,1620.0
2024-08-27 10:06:00,10.1,10.1,10.0,10.0,1000,26.677848,502500,1631.1,1640.0
2024-08-27 10:07:00,18.3,18.3,18.3,18.3,1000,23.750882,176500,1630.0,1620.0
2024-08-27 10:08:00,17.95,17.95,17.95,17.95,1500,23.694833,176500,1629.5,1620.0
2024-08-27 10:09:00,17.95,17.95,17.95,17.95,0,23.694833,176500,1628.0,1620.0
2024-08-27 10:10:00,17.95,17.95,17.95,17.95,0,23.694833,176500,1627.05,1620.0
2024-08-27 10:11:00,16.95,16.95,16.95,16.95,500,23.723524,176000,1627.9,1620.0
2024-08-27 10:12:00,16.95,16.95,16.95,16.95,500,25.772706,176000,1626.25,1620.0
2024-08-27 10:13:00,16.95,16.95,16.95,16.95,0,25.772706,176000,1625.85,1620.0
2024-08-27 10:14:00,17.0,17.0,17.0,17.0,1000,24.846656,176000,1627.1,1620.0
2024-08-27 10:15:00,17.0,17.0,16.95,16.95,1500,27.256699,176000,1625.0,1620.0
2024-08-27 10:16:00,16.05,16.8,16.05,16.8,3000,27.53262,175000,1624.5,1620.0
2024-08-27 10:17:00,16.8,18.6,16.8,18.6,1000,27.082158,175000,1627.95,1620.0
2024-08-27 10:18:00,18.6,18.6,16.85,16.85,1500,26.95353,175000,1625.1,1620.0
2024-08-27 10:19:00,17.55,17.55,17.2,17.2,2000,26.728073,176000,1625.9,1620.0
2024-08-27 10:20:00,17.2,17.2,17.2,17.2,0,26.728073,176000,1625.25,1620.0
2024-08-27 10:21:00,17.2,17.2,17.2,17.2,0,26.728073,176000,1624.45,1620.0
2024-08-27 10:22:00,17.2,17.2,17.15,17.15,1500,26.876701,176000,1625.7,1620.0
2024-08-27 10:23:00,17.15,17.15,17.15,17.15,0,26.876701,176000,1624.75,1620.0
2024-08-27 10:24:00,17.15,17.15,17.15,17.15,0,26.876701,176000,1624.45,1620.0
2024-08-27 10:25:00,17.15,17.15,17.15,17.15,0,26.876701,176000,1624.95,1620.0
2024-08-27 10:26:00,17.25,17.25,17.25,17.25,500,27.854508,176500,1625.05,1620.0
2024-08-27 10:27:00,16.7,16.75,16.7,16.75,2000,26.851001,176500,1625.05,1620.0
2024-08-27 10:28:00,16.75,16.75,16.75,16.75,0,26.851001,176500,1624.15,1620.0
2024-08-27 10:29:00,16.75,16.75,16.4,16.4,1000,27.693185,176500,1623.7,1620.0
2024-08-27 10:30:00,16.4,16.4,16.4,16.4,0,27.693185,176500,1626.0,1620.0
2024-08-27 10:31:00,16.4,17.05,16.4,17.05,1000,27.474748,176000,1625.05,1620.0
2024-08-27 10:32:00,17.05,17.05,16.65,16.65,500,27.872418,176000,1624.0,1620.0
2024-08-27 10:33:00,16.65,16.65,16.65,16.65,0,27.872418,176000,1625.05,1620.0
