datetime,open,high,low,close,volume,iv,oi,spot,strike
2023-11-28 09:17:00,2.95,2.95,2.7,2.7,7500,38.687949,1530000,234.55,235.0
2023-11-28 09:18:00,2.45,2.45,2.4,2.4,17500,34.946049,1532500,234.5,235.0
2023-11-28 09:19:00,2.45,2.45,2.35,2.35,10000,34.27154,1532500,234.5,235.0
2023-11-28 09:20:00,2.35,2.35,2.2,2.2,5000,34.168671,1532500,234.2,235.0
2023-11-28 09:21:00,2.35,2.35,2.25,2.25,7500,36.116014,1532500,234.0,235.0
2023-11-28 09:22:00,2.1,2.1,2.0,2.0,47500,32.380899,1532500,234.05,235.0
2023-11-28 09:23:00,2.05,2.05,1.7,1.7,27500,30.942624,1532500,233.6,235.0
2023-11-28 09:24:00,1.75,1.75,1.7,1.7,30000,32.3882,1527500,233.35,235.0
2023-11-28 09:25:00,4.25,4.25,3.8,3.8,50000,33.876472,1095000,232.2,230.0
2023-11-28 09:26:00,3.3,3.3,3.15,3.15,35000,21.545456,1095000,232.4,230.0
2023-11-28 09:27:00,3.6,3.6,3.6,3.6,12500,28.280901,1070000,232.45,230.0
2023-11-28 09:28:00,1.35,1.45,1.35,1.45,25000,32.139844,1557500,232.75,235.0
2023-11-28 09:29:00,1.4,1.4,1.25,1.25,30000,29.989803,1562500,232.6,235.0
2023-11-28 09:30:00,1.3,1.3,1.3,1.3,7500,30.217614,1562500,232.7,235.0
2023-11-28 09:31:00,1.35,1.35,1.35,1.35,10000,30.432211,1562500,232.8,235.0
2023-11-28 09:32:00,1.35,1.35,1.35,1.35,35000,30.172895,1562500,232.85,235.0
2023-11-28 09:33:00,1.4,1.4,1.4,1.4,2500,30.10225,1592500,233.0,235.0
2023-11-28 09:34:00,1.5,1.65,1.5,1.65,22500,31.73571,1592500,233.35,235.0
2023-11-28 09:35:00,1.65,1.7,1.65,1.7,5000,31.294155,1595000,233.55,235.0
2023-11-28 09:36:00,1.7,1.7,1.7,1.7,2500,32.736182,1595000,233.3,235.0
2023-11-28 09:37:00,1.75,1.75,1.75,1.75,12500,32.295175,1595000,233.5,235.0
2023-11-28 09:38:00,1.75,1.8,1.75,1.8,5000,32.12035,1597500,233.65,235.0
2023-11-28 09:39:00,1.75,1.75,1.75,1.75,15000,33.171589,1597500,233.35,235.0
2023-11-28 09:40:00,1.75,1.75,1.75,1.75,2500,32.600832,1597500,233.45,235.0
2023-11-28 09:41:00,1.75,1.75,1.75,1.75,5000,31.732482,1597500,233.6,235.0
2023-11-28 09:42:00,1.75,1.75,1.75,1.75,2500,33.18775,1602500,233.35,235.0
2023-11-28 09:43:00,1.8,1.8,1.75,1.75,7500,32.326706,1602500,233.5,235.0
2023-11-28 09:44:00,1.75,1.85,1.75,1.85,5000,35.182318,1602500,233.25,235.0
2023-11-28 09:45:00,1.85,1.85,1.7,1.7,5000,33.351314,1607500,233.2,235.0
2023-11-28 09:46:00,1.65,1.65,1.55,1.55,15000,31.501346,1607500,233.15,235.0
2023-11-28 09:47:00,1.55,1.55,1.55,1.55,0,31.501346,1607500,233.25,235.0
2023-11-28 09:48:00,1.55,1.6,1.55,1.6,2500,32.504036,1602500,233.1,235.0
2023-11-28 09:49:00,1.6,1.6,1.6,1.6,0,32.504036,1602500,233.05,235.0
2023-11-28 09:50:00,1.6,1.6,1.55,1.55,2500,32.350249,1602500,233.0,235.0
2023-11-28 09:51:00,1.6,1.6,1.55,1.55,15000,32.629578,1602500,232.95,235.0
2023-11-28 09:52:00,1.55,1.55,1.55,1.55,5000,33.451216,1602500,232.8,235.0
2023-11-28 09:53:00,1.5,1.5,1.5,1.5,12500,32.999562,1627500,232.75,235.0
2023-11-28 09:54:00,1.45,1.45,1.4,1.4,12500,31.80888,1627500,232.7,235.0
2023-11-28 09:55:00,1.4,1.4,1.4,1.4,2500,32.603187,1627500,232.55,235.0
2023-11-28 09:56:00,3.75,3.75,3.75,3.75,2500,30.228631,1057500,232.5,230.0
2023-11-28 09:57:00,1.4,1.4,1.4,1.4,7500,32.351557,1627500,232.6,235.0
2023-11-28 09:58:00,3.8,3.8,3.45,3.45,12500,27.711309,1057500,232.3,230.0
2023-11-28 09:59:00,1.3,1.3,1.3,1.3,5000,31.140004,1627500,232.55,235.0
2023-11-28 10:00:00,3.75,3.75,3.3,3.3,5000,33.243579,1050000,231.5,230.0
2023-11-28 10:01:00,3.1,3.1,2.8,3.1,35000,30.801044,1050000,231.45,230.0
2023-11-28 10:02:00,3.05,3.05,3.05,3.05,2500,27.755236,1050000,231.7,230.0
2023-11-28 10:03:00,3.05,3.05,3.05,3.05,0,27.755236,1050000,231.7,230.0
2023-11-28 10:04:00,3.25,3.25,3.15,3.15,7500,28.770792,1032500,231.75,230.0
2023-11-28 10:05:00,3.05,3.05,3.05,3.05,2500,30.543686,1032500,231.4,230.0
2023-11-28 10:06:00,3.05,3.05,2.7,2.7,7500,24.490337,1032500,231.5,230.0
2023-11-28 10:07:00,2.7,2.7,2.7,2.7,0,24.490337,1032500,231.65,230.0
2023-11-28 10:08:00,2.7,2.7,2.7,2.7,0,24.490337,1032500,232.05,230.0
2023-11-28 10:09:00,3.05,3.05,3.05,3.05,12500,25.795968,1032500,231.9,230.0
2023-11-28 10:10:00,3.05,3.05,3.05,3.05,0,25.795968,1032500,232.3,230.0
2023-11-28 10:11:00,3.05,3.35,3.05,3.35,2500,26.196589,1032500,232.3,230.0
2023-11-28 10:12:00,3.3,3.35,3.3,3.35,5000,25.061814,1032500,232.4,230.0
2023-11-28 10:13:00,3.25,3.25,3.25,3.25,2500,24.018743,1032500,232.35,230.0
2023-11-28 10:14:00,3.25,3.25,3.25,3.25,2500,25.732816,1030000,232.2,230.0
2023-11-28 10:15:00,3.25,3.25,3.25,3.25,0,25.732816,1030000,232.7,235.0
2023-11-28 10:16:00,1.25,1.45,1.25,1.45,2500,32.658917,1682500,232.7,235.0
2023-11-28 10:17:00,1.45,1.55,1.45,1.55,20000,33.042512,1682500,232.9,235.0
