datetime,open,high,low,close,volume,iv,oi,spot,strike
2024-12-31 09:15:00,3.9,3.9,3.7,3.8,101250,28.057836,1228500,99.35,99.0
2024-12-31 09:16:00,3.3,3.3,3.3,3.3,202500,27.1021,8174250,99.58,100.0
2024-12-31 09:17:00,3.85,3.85,3.85,3.85,94500,27.783038,1228500,99.49,99.0
2024-12-31 09:18:00,3.35,3.35,3.3,3.3,195750,26.62962,8174250,99.68,100.0
2024-12-31 09:19:00,3.45,3.5,3.45,3.5,303750,28.291136,8214750,99.7,100.0
2024-12-31 09:20:00,3.45,3.45,3.4,3.4,135000,27.603539,8214750,99.66,100.0
2024-12-31 09:21:00,3.4,3.4,3.4,3.4,13500,27.60394,8214750,99.66,100.0
2024-12-31 09:22:00,3.4,3.4,3.35,3.35,81000,27.165291,8208000,99.66,100.0
2024-12-31 09:23:00,3.35,3.45,3.35,3.45,67500,26.69679,8208000,99.94,100.0
2024-12-31 09:24:00,3.5,3.55,3.5,3.55,87750,27.771186,8248500,99.9,100.0
2024-12-31 09:25:00,3.45,3.45,3.4,3.4,101250,27.510562,8248500,99.68,100.0
2024-12-31 09:26:00,3.4,3.4,3.4,3.4,47250,26.550361,8248500,99.88,100.0
2024-12-31 09:27:00,3.5,3.5,3.4,3.4,114750,27.129514,8208000,99.76,100.0
2024-12-31 09:28:00,3.4,3.4,3.4,3.4,0,27.129514,8208000,99.5,99.0
2024-12-31 09:29:00,3.85,3.85,3.85,3.85,13500,27.735974,1431000,99.5,99.0
2024-12-31 09:30:00,3.3,3.35,3.3,3.35,74250,27.215897,8208000,99.65,100.0
2024-12-31 09:31:00,3.35,3.35,3.35,3.35,54000,27.828751,8282250,99.52,100.0
2024-12-31 09:32:00,3.35,3.35,3.35,3.35,155250,27.547439,8282250,99.58,100.0
2024-12-31 09:33:00,3.35,3.35,3.35,3.35,0,27.547439,8282250,99.67,100.0
2024-12-31 09:34:00,3.45,3.45,3.35,3.35,114750,26.788795,8329500,99.74,100.0
2024-12-31 09:35:00,3.45,3.45,3.45,3.45,74250,27.619848,8329500,99.75,100.0
2024-12-31 09:36:00,3.45,3.55,3.45,3.55,40500,27.67886,8309250,99.92,100.0
2024-12-31 09:37:00,3.55,3.55,3.55,3.55,74250,27.581872,8309250,99.94,100.0
2024-12-31 09:38:00,3.55,3.65,3.55,3.65,141750,28.021518,8309250,100.03,100.0
2024-12-31 09:39:00,3.6,3.65,3.6,3.65,135000,28.169092,8349750,100.0,100.0
2024-12-31 09:40:00,3.65,3.65,3.55,3.55,27000,27.387672,8349750,99.98,100.0
2024-12-31 09:41:00,3.55,3.55,3.55,3.55,0,27.387672,8349750,99.9,100.0
2024-12-31 09:42:00,3.55,3.55,3.55,3.55,0,27.387672,8349750,99.64,100.0
2024-12-31 09:43:00,3.5,3.5,3.45,3.45,40500,28.004442,8343000,99.67,100.0
2024-12-31 09:44:00,3.45,3.45,3.4,3.4,20250,27.802606,8343000,99.62,100.0
2024-12-31 09:45:00,3.4,3.4,3.4,3.4,13500,27.232426,8343000,99.74,100.0
2024-12-31 09:46:00,3.5,3.5,3.5,3.5,67500,27.823744,8343000,99.8,100.0
2024-12-31 09:47:00,3.5,3.5,3.5,3.5,0,27.823744,8343000,99.83,100.0
