datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-12-29 09:16:00,11.05,11.05,6.6,9.2,8550,24.274453,81225,1479.5,1480.0
2025-12-29 09:17:00,10.65,10.65,9.2,10.65,2850,29.840615,81225,1478.2,1480.0
2025-12-29 09:18:00,11.0,11.0,10.65,11.0,1425,27.426669,81225,1480.7,1480.0
2025-12-29 09:19:00,11.65,11.7,11.0,11.7,2375,29.708346,77900,1480.4,1480.0
2025-12-29 09:20:00,11.55,11.7,11.55,11.55,3800,30.80799,77900,1479.3,1480.0
2025-12-29 09:21:00,11.65,11.65,11.55,11.65,950,30.137655,77900,1480.0,1480.0
2025-12-29 09:22:00,11.05,11.65,11.05,11.05,1425,30.288919,77900,1478.7,1480.0
2025-12-29 09:23:00,11.05,11.05,11.05,11.05,0,30.558501,76000,1478.5,1480.0
2025-12-29 09:24:00,11.0,11.05,10.35,10.35,2850,31.248527,76000,1476.5,1480.0
2025-12-29 09:25:00,10.05,10.35,10.05,10.05,3800,30.080275,76475,1476.8,1480.0
2025-12-29 09:26:00,10.0,10.05,10.0,10.0,950,33.22953,76475,1474.1,1480.0
2025-12-29 09:27:00,9.25,10.0,8.9,8.9,5225,30.839344,76475,1473.6,1480.0
2025-12-29 09:28:00,9.75,9.75,8.9,9.75,4750,30.043031,76000,1476.2,1480.0
2025-12-29 09:29:00,9.05,9.75,9.05,9.05,2850,28.659154,76000,1475.8,1480.0
2025-12-29 09:30:00,9.55,9.55,9.05,9.55,950,28.026042,76000,1477.4,1480.0
2025-12-29 09:31:00,11.05,11.05,9.55,11.05,4750,28.750613,76475,1479.9,1480.0
2025-12-29 09:32:00,10.6,11.05,10.6,10.6,4275,28.234781,76475,1479.4,1480.0
2025-12-29 09:33:00,10.6,10.6,10.6,10.6,0,27.972676,76475,1479.6,1480.0
2025-12-29 09:34:00,10.85,10.85,10.6,10.85,1900,27.690957,76475,1480.3,1480.0
2025-12-29 09:35:00,11.15,11.15,10.85,11.0,4275,27.121797,76950,1481.0,1480.0
2025-12-29 09:36:00,10.85,11.0,10.85,10.85,475,27.288947,76950,1480.6,1480.0
2025-12-29 09:37:00,10.85,10.85,10.85,10.85,0,25.44323,76950,1481.9,1480.0
2025-12-29 09:38:00,11.4,11.4,10.85,11.4,950,26.777368,77425,1482.0,1480.0
2025-12-29 09:39:00,11.4,12.5,11.4,12.5,2850,26.88504,77425,1483.9,1480.0
2025-12-29 09:40:00,12.65,12.65,12.5,12.65,1900,29.994512,76950,1482.1,1480.0
2025-12-29 09:41:00,11.25,12.65,11.25,11.25,2375,26.395359,76950,1482.0,1480.0
2025-12-29 09:42:00,10.8,11.25,10.8,10.8,2375,27.335598,76950,1480.5,1480.0
2025-12-29 09:43:00,11.15,11.15,10.8,11.15,1900,26.4319,76950,1481.8,1480.0
2025-12-29 09:44:00,11.15,11.15,11.15,11.15,0,27.584198,76950,1481.0,1480.0
2025-12-29 09:45:00,11.1,11.15,11.1,11.1,3800,27.598409,77425,1480.9,1480.0
2025-12-29 09:46:00,11.1,11.1,11.1,11.1,0,28.025851,77425,1480.6,1480.0
2025-12-29 09:47:00,9.4,11.1,9.4,9.4,1425,25.267124,77425,1479.3,1480.0
2025-12-29 09:48:00,11.0,11.0,9.4,11.0,3800,26.640539,77425,1481.4,1480.0
2025-12-29 09:49:00,12.05,12.05,11.0,12.05,950,27.115339,78850,1483.0,1480.0
2025-12-29 09:50:00,11.2,12.05,11.2,11.2,1425,25.130279,78850,1482.8,1480.0
2025-12-29 09:51:00,11.0,11.2,11.0,11.2,1425,24.371759,78850,1483.3,1480.0
2025-12-29 09:52:00,11.0,11.2,11.0,11.0,1425,24.602737,78850,1482.8,1480.0
2025-12-29 09:53:00,10.5,11.0,10.5,10.5,2375,25.761916,78850,1481.1,1480.0
2025-12-29 09:54:00,10.5,10.5,10.5,10.5,0,27.44338,78850,1479.9,1480.0
2025-12-29 09:55:00,10.5,10.5,10.5,10.5,0,28.264105,78375,1479.3,1480.0
2025-12-29 09:56:00,10.5,10.5,10.5,10.5,0,29.334846,78375,1478.5,1480.0
2025-12-29 09:57:00,10.5,10.5,10.5,10.5,0,28.813201,78375,1478.9,1480.0
2025-12-29 09:58:00,8.6,10.5,8.6,8.6,2375,23.593859,78375,1479.0,1480.0
2025-12-29 09:59:00,8.55,8.6,8.55,8.55,1425,23.730609,80275,1478.8,1480.0
2025-12-29 10:00:00,8.55,8.55,7.85,7.85,3800,25.142497,80275,1476.2,1480.0
2025-12-29 10:01:00,7.85,7.85,7.85,7.85,950,24.782515,77900,1476.5,1480.0
2025-12-29 10:02:00,8.6,8.6,7.85,8.6,1425,25.31075,77900,1477.7,1480.0
2025-12-29 10:03:00,8.95,8.95,8.6,8.95,8075,26.514403,77900,1477.5,1480.0
2025-12-29 10:04:00,9.15,9.6,8.95,9.6,18525,27.238052,85500,1478.3,1480.0
2025-12-29 10:05:00,9.5,9.6,9.5,9.5,10925,25.785055,85500,1479.2,1480.0
2025-12-29 10:06:00,9.2,9.5,9.2,9.2,950,25.519117,85500,1478.8,1480.0
2025-12-29 10:07:00,9.2,9.2,9.2,9.2,0,26.05222,92150,1478.4,1480.0
2025-12-29 10:08:00,9.45,9.45,9.2,9.25,2375,26.454388,92150,1478.2,1480.0
2025-12-29 10:09:00,9.4,9.4,9.25,9.4,1425,27.511659,92150,1477.7,1480.0
2025-12-29 10:10:00,9.4,9.4,9.4,9.4,0,28.156972,91675,1477.2,1480.0
2025-12-29 10:11:00,9.4,9.4,9.4,9.4,0,27.525545,91675,1477.7,1480.0
2025-12-29 10:12:00,9.4,9.4,9.4,9.4,0,28.801749,91675,1476.7,1480.0
2025-12-29 10:13:00,9.4,9.4,9.4,9.4,0,29.308107,92150,1476.3,1480.0
2025-12-29 10:14:00,8.65,9.4,8.65,8.65,2850,26.660805,92150,1476.8,1480.0
2025-12-29 10:15:00,8.65,8.65,8.65,8.65,0,26.416981,92150,1477.0,1480.0
2025-12-29 10:16:00,8.65,8.65,8.65,8.65,0,28.030389,92150,1475.7,1480.0
2025-12-29 10:17:00,8.0,8.65,7.9,7.9,5700,26.113996,92150,1475.6,1480.0
2025-12-29 10:18:00,7.05,7.9,7.05,7.05,12825,25.08759,92150,1474.5,1480.0
2025-12-29 10:19:00,7.05,7.05,7.05,7.05,0,25.554829,91675,1474.1,1480.0
2025-12-29 10:20:00,7.45,7.45,7.05,7.45,5700,25.14283,91675,1475.4,1480.0
2025-12-29 10:21:00,7.35,7.6,7.35,7.6,4750,25.559901,91675,1475.4,1480.0
2025-12-29 10:22:00,7.6,7.6,7.6,7.6,475,26.041605,91675,1475.0,1480.0
2025-12-29 10:23:00,7.4,7.6,7.4,7.4,475,26.43349,97850,1474.2,1480.0
2025-12-29 10:24:00,7.1,7.4,7.1,7.1,2375,24.914646,97850,1474.8,1480.0
2025-12-29 10:25:00,7.15,7.25,7.1,7.25,2850,25.216967,98325,1474.9,1480.0
2025-12-29 10:26:00,8.15,8.15,7.25,8.15,1425,26.493037,98325,1475.9,1480.0
2025-12-29 10:27:00,7.3,8.15,7.3,7.3,950,24.417744,98325,1475.7,1480.0
