datetime,open,high,low,close,volume,iv,oi,spot,strike
2025-10-27 09:15:00,2.25,2.25,2.1,2.1,3400,21.112896,174250,725.3,730.0
2025-10-27 09:16:00,2.6,2.6,2.1,2.6,2550,23.036223,174250,725.8,730.0
2025-10-27 09:17:00,2.6,2.6,2.6,2.6,0,23.249335,174250,725.7,730.0
2025-10-27 09:18:00,2.6,2.6,2.6,2.6,0,22.420046,174250,726.1,730.0
2025-10-27 09:19:00,2.5,2.6,2.5,2.5,8500,22.060438,174250,726.0,730.0
2025-10-27 09:20:00,2.6,2.6,2.5,2.6,16150,22.641219,174250,726.0,730.0
2025-10-27 09:21:00,2.6,2.6,2.6,2.6,0,23.787821,165750,725.45,730.0
2025-10-27 09:22:00,2.3,2.6,2.3,2.3,41650,22.338199,165750,725.3,730.0
2025-10-27 09:23:00,2.5,2.5,2.3,2.5,10200,23.216342,165750,725.45,730.0
2025-10-27 09:24:00,2.5,2.5,2.5,2.5,0,23.222052,165750,725.45,730.0
2025-10-27 09:25:00,2.5,2.5,2.5,2.5,0,22.197327,165750,725.95,730.0
2025-10-27 09:26:00,2.55,2.55,2.5,2.55,62900,21.860889,168300,726.25,730.0
2025-10-27 09:27:00,2.85,2.85,2.55,2.85,6800,23.253944,168300,726.4,730.0
2025-10-27 09:28:00,2.7,2.85,2.7,2.7,100300,22.515467,172550,726.35,730.0
2025-10-27 09:29:00,2.7,2.7,2.7,2.7,0,22.841806,172550,726.2,730.0
2025-10-27 09:30:00,2.25,2.7,2.25,2.25,114750,20.874461,172550,725.9,730.0
2025-10-27 09:31:00,2.25,2.25,2.25,2.25,5100,20.158921,172550,726.25,730.0
2025-10-27 09:32:00,2.2,2.25,2.2,2.2,117300,19.770326,172550,726.3,730.0
2025-10-27 09:33:00,2.2,2.2,2.2,2.2,0,20.800396,172550,725.8,730.0
2025-10-27 09:34:00,2.2,2.2,2.2,2.2,0,21.410526,172550,725.5,730.0
2025-10-27 09:35:00,2.2,2.2,2.2,2.2,0,20.912106,173400,725.75,730.0
2025-10-27 09:36:00,2.2,2.2,2.2,2.2,0,22.118402,173400,725.15,730.0
2025-10-27 09:37:00,1.95,2.2,1.95,1.95,130900,20.226787,170850,725.35,730.0
2025-10-27 09:38:00,2.0,2.0,1.95,2.0,1700,20.82698,170850,725.2,730.0
2025-10-27 09:39:00,2.0,2.0,2.0,2.0,0,20.144808,170850,725.55,730.0
2025-10-27 09:40:00,1.9,2.0,1.9,1.9,153000,18.758034,174250,725.95,730.0
2025-10-27 09:41:00,2.3,2.3,1.9,2.3,8500,22.84352,174250,725.1,730.0
2025-10-27 09:42:00,6.8,6.8,6.8,6.8,0,19.617319,88400,724.95,720.0
2025-10-27 09:43:00,6.8,6.8,6.8,6.8,0,19.387061,88400,725.0,720.0
2025-10-27 09:44:00,6.8,6.8,6.8,6.8,0,20.762827,88400,724.7,720.0
2025-10-27 09:45:00,1.95,1.95,1.9,1.95,176800,19.874476,178500,725.55,730.0
2025-10-27 09:46:00,1.95,1.95,1.95,1.95,0,19.97794,179350,725.5,730.0
2025-10-27 09:47:00,1.95,1.95,1.95,1.95,0,20.472585,179350,725.25,730.0
2025-10-27 09:48:00,1.95,1.95,1.95,1.95,0,20.380124,179350,725.3,730.0
2025-10-27 09:49:00,2.0,2.0,1.95,2.0,187000,20.294201,184450,725.5,730.0
2025-10-27 09:50:00,2.0,2.0,2.0,2.0,0,19.901985,184450,725.7,730.0
2025-10-27 09:51:00,2.0,2.0,2.0,2.0,0,19.807125,184450,725.75,730.0
2025-10-27 09:52:00,2.1,2.1,2.0,2.1,190400,20.508833,183600,725.7,730.0
2025-10-27 09:53:00,2.0,2.1,2.0,2.0,2550,20.016676,183600,725.65,730.0
2025-10-27 09:54:00,1.95,2.0,1.95,1.95,192950,20.410746,183600,725.3,730.0
2025-10-27 09:55:00,1.95,1.95,1.95,1.95,0,20.902679,181900,725.05,730.0
2025-10-27 09:56:00,6.25,6.25,6.25,6.25,0,15.699721,91800,725.0,720.0
2025-10-27 09:57:00,1.85,1.85,1.75,1.85,6800,19.426548,181900,725.5,730.0
2025-10-27 09:58:00,2.1,2.1,1.85,2.1,203150,19.003397,180200,726.45,730.0
2025-10-27 09:59:00,2.1,2.1,2.1,2.1,0,17.197165,180200,727.3,730.0
2025-10-27 10:00:00,2.7,2.7,2.1,2.7,215050,20.483858,180200,727.35,730.0
2025-10-27 10:01:00,2.5,2.7,2.5,2.5,6800,19.920546,186150,727.1,730.0
2025-10-27 10:02:00,2.5,2.5,2.5,2.5,0,18.344353,186150,727.8,730.0
2025-10-27 10:03:00,2.5,2.5,2.5,2.5,0,19.260605,186150,727.4,730.0
2025-10-27 10:04:00,2.55,2.55,2.5,2.5,232900,20.046364,189550,727.05,730.0
2025-10-27 10:05:00,2.5,2.5,2.5,2.5,1700,19.495105,189550,727.3,730.0
2025-10-27 10:06:00,2.55,2.55,2.5,2.55,235450,19.894797,189550,727.25,730.0
2025-10-27 10:07:00,2.55,2.55,2.55,2.55,0,20.123425,189550,727.15,730.0
2025-10-27 10:08:00,2.4,2.55,2.35,2.35,241400,18.660224,190400,727.3,730.0
2025-10-27 10:09:00,2.35,2.35,2.35,2.35,850,19.653025,190400,726.85,730.0
2025-10-27 10:10:00,2.35,2.35,2.35,2.35,0,19.33125,190400,727.0,730.0
2025-10-27 10:11:00,2.35,2.35,2.35,2.35,0,19.226658,191250,727.05,730.0
2025-10-27 10:12:00,2.35,2.35,2.35,2.35,0,19.341101,191250,727.0,730.0
2025-10-27 10:13:00,2.35,2.35,2.35,2.35,0,19.126591,191250,727.1,730.0
2025-10-27 10:14:00,2.35,2.35,2.35,2.35,0,17.559435,192100,727.8,730.0
2025-10-27 10:15:00,2.35,2.35,2.35,2.35,0,17.792702,192100,727.7,730.0
2025-10-27 10:16:00,2.35,2.35,2.35,2.35,0,17.222483,192100,727.95,730.0
2025-10-27 10:17:00,2.35,2.35,2.35,2.35,0,16.523901,192100,728.25,730.0
2025-10-27 10:18:00,2.35,2.35,2.35,2.35,0,19.261071,192100,727.05,730.0
2025-10-27 10:19:00,2.8,2.8,2.35,2.8,261800,18.911224,193800,728.3,730.0
2025-10-27 10:20:00,3.25,3.25,2.8,3.25,5100,19.121711,193800,729.2,730.0
2025-10-27 10:21:00,3.25,3.25,3.25,3.25,296650,21.410807,193800,728.3,730.0
2025-10-27 10:22:00,3.25,3.25,3.25,3.25,0,19.909587,193800,728.9,730.0
2025-10-27 10:23:00,3.25,3.25,3.25,3.25,0,20.297335,193800,728.75,730.0
2025-10-27 10:24:00,2.75,3.25,2.75,2.8,309400,19.893862,215900,727.9,730.0
2025-10-27 10:25:00,2.8,2.8,2.8,2.8,0,20.949594,216750,727.45,730.0
2025-10-27 10:26:00,2.65,2.8,2.65,2.65,315350,20.677312,216750,727.2,730.0
2025-10-27 10:27:00,2.7,2.7,2.6,2.6,1700,20.846709,216750,727.0,730.0
2025-10-27 10:28:00,2.6,2.6,2.6,2.6,0,20.403838,215050,727.2,730.0
2025-10-27 10:29:00,2.6,2.6,2.6,2.6,0,20.52159,215050,727.15,730.0
2025-10-27 10:30:00,2.6,2.6,2.6,2.6,0,22.934788,215050,726.05,730.0
2025-10-27 10:31:00,2.6,2.6,2.6,2.6,0,24.726286,215900,725.2,730.0
2025-10-27 10:32:00,2.6,2.6,2.6,2.6,0,21.537964,215900,726.7,730.0
2025-10-27 10:33:00,2.15,2.6,2.15,2.15,337450,19.150297,215900,726.6,730.0
2025-10-27 10:34:00,2.15,2.15,2.15,2.15,0,20.101223,215900,726.15,730.0
2025-10-27 10:35:00,2.15,2.15,2.15,2.15,354450,21.642452,215900,725.4,730.0
2025-10-27 10:36:00,2.15,2.15,2.15,2.15,0,21.4458,215900,725.5,730.0
2025-10-27 10:37:00,2.1,2.15,2.1,2.1,359550,21.651082,215900,725.25,730.0
2025-10-27 10:38:00,2.05,2.1,2.05,2.05,850,20.95179,215900,725.45,730.0
2025-10-27 10:39:00,1.95,2.15,1.95,2.15,363800,20.541772,232900,725.95,730.0
2025-10-27 10:40:00,2.15,2.15,2.15,2.15,0,20.855829,232900,725.8,730.0
2025-10-27 10:41:00,2.15,2.15,2.15,2.15,0,20.448918,232900,726.0,730.0
2025-10-27 10:42:00,6.65,6.75,6.65,6.65,73100,18.700217,79900,725.0,720.0
2025-10-27 10:43:00,6.65,6.65,6.65,6.65,0,19.670322,79900,724.8,720.0
2025-10-27 10:44:00,6.65,6.65,6.65,6.65,0,20.367114,79900,724.65,720.0
2025-10-27 10:45:00,6.65,6.65,6.65,6.65,0,18.715901,79900,725.0,720.0
2025-10-27 10:46:00,6.65,6.65,6.65,6.65,0,21.479946,79900,724.4,720.0
2025-10-27 10:47:00,6.65,6.65,6.65,6.65,0,18.972924,79900,724.95,720.0
2025-10-27 10:48:00,6.65,6.65,6.65,6.65,0,19.697476,79900,724.8,720.0
2025-10-27 10:49:00,6.65,6.65,6.65,6.65,0,21.281534,79900,724.45,720.0
2025-10-27 10:50:00,6.65,6.65,6.65,6.65,0,18.742101,79900,725.0,720.0
2025-10-27 10:51:00,6.65,6.65,6.65,6.65,0,20.40621,79900,724.65,720.0
2025-10-27 10:52:00,6.65,6.65,6.65,6.65,0,19.242667,79900,724.9,720.0
2025-10-27 10:53:00,6.65,6.65,6.65,6.65,0,20.189309,79900,724.7,720.0
2025-10-27 10:54:00,6.2,6.65,6.2,6.2,75650,15.881422,79900,724.95,720.0
2025-10-27 10:55:00,6.2,6.2,6.2,6.2,0,15.603378,79900,725.0,720.0
2025-10-27 10:56:00,6.2,6.2,6.2,6.2,0,15.607973,79900,725.0,720.0
2025-10-27 10:57:00,6.2,6.2,6.2,6.2,0,16.968792,79900,724.75,720.0
2025-10-27 10:58:00,6.2,6.2,6.2,6.2,0,15.90003,79900,724.95,720.0
2025-10-27 10:59:00,6.5,6.5,6.2,6.5,76500,18.27187,79900,724.9,720.0
2025-10-27 11:00:00,6.5,6.5,6.5,6.5,0,17.76778,79900,725.0,720.0
2025-10-27 11:01:00,6.5,6.5,6.5,6.5,0,17.772844,79900,725.0,720.0
2025-10-27 11:02:00,6.5,6.5,6.5,6.5,0,17.777908,79900,725.0,720.0
2025-10-27 11:03:00,6.5,6.5,6.5,6.5,0,17.782989,79900,725.0,720.0
2025-10-27 11:04:00,6.5,6.5,6.5,6.5,0,17.788058,79900,725.0,720.0
2025-10-27 11:05:00,6.5,6.5,6.5,6.5,0,17.793138,79900,725.0,720.0
2025-10-27 11:06:00,6.35,6.5,6.35,6.35,80750,16.743174,80750,725.0,720.0
2025-10-27 11:07:00,2.4,2.4,2.1,2.4,21250,19.796314,224400,727.05,730.0
2025-10-27 11:08:00,2.6,2.6,2.4,2.6,416500,21.405071,224400,726.85,730.0
2025-10-27 11:09:00,2.6,2.6,2.6,2.6,0,22.949557,224400,726.15,730.0
2025-10-27 11:10:00,2.4,2.6,2.35,2.35,445400,22.219493,224400,725.8,730.0
2025-10-27 11:11:00,2.4,2.8,2.35,2.8,47600,20.849582,224400,727.6,730.0
2025-10-27 11:12:00,2.85,2.85,2.7,2.7,480250,22.453391,224400,726.65,730.0
2025-10-27 11:13:00,2.3,2.7,2.3,2.3,51850,21.622346,224400,725.95,730.0
2025-10-27 11:14:00,2.15,2.3,2.15,2.15,489600,20.624295,224400,726.0,730.0
2025-10-27 11:15:00,2.1,2.15,2.1,2.1,56950,18.634792,224400,726.8,730.0
2025-10-27 11:16:00,2.7,2.75,2.1,2.7,500650,21.462596,218450,727.1,730.0
2025-10-27 11:17:00,2.7,2.7,2.7,2.7,0,21.582045,218450,727.05,730.0
2025-10-27 11:18:00,2.7,2.7,2.7,2.7,0,21.473844,218450,727.1,730.0
2025-10-27 11:19:00,2.7,2.7,2.7,2.7,0,21.250826,218450,727.2,730.0
2025-10-27 11:20:00,2.65,2.7,2.65,2.65,567800,21.083122,217600,727.15,730.0
2025-10-27 11:21:00,2.65,2.65,2.65,2.65,0,21.088666,217600,727.15,730.0
2025-10-27 11:22:00,2.65,2.65,2.65,2.65,0,21.435192,217600,727.0,730.0
2025-10-27 11:23:00,2.65,2.65,2.65,2.65,0,21.440816,217600,727.0,730.0
2025-10-27 11:24:00,2.6,2.65,2.6,2.6,568650,21.15716,217600,727.0,730.0
2025-10-27 11:25:00,2.6,2.6,2.6,2.6,0,21.162721,217600,727.0,730.0
2025-10-27 11:26:00,2.65,2.65,2.6,2.65,569500,21.457721,218450,727.0,730.0
2025-10-27 11:27:00,2.65,2.65,2.65,2.65,0,21.576582,218450,726.95,730.0
2025-10-27 11:28:00,2.95,2.95,2.65,2.95,582250,20.958239,212500,727.95,730.0
2025-10-27 11:29:00,2.75,2.95,2.75,2.75,2550,21.479294,212500,727.25,730.0
2025-10-27 11:30:00,2.75,2.75,2.75,2.75,0,20.075607,212500,727.85,730.0
2025-10-27 11:31:00,2.75,2.75,2.75,2.75,0,20.08093,212500,727.85,730.0
2025-10-27 11:32:00,2.9,2.9,2.7,2.7,590750,21.208507,212500,727.25,730.0
2025-10-27 11:33:00,2.7,2.7,2.7,2.7,0,20.750409,212500,727.45,730.0
2025-10-27 11:34:00,2.7,2.7,2.7,2.7,0,21.678669,214200,727.05,730.0
2025-10-27 11:35:00,2.7,2.7,2.7,2.7,598400,20.644599,214200,727.5,730.0
2025-10-27 11:36:00,2.6,2.7,2.6,2.6,850,21.110725,214200,727.05,730.0
2025-10-27 11:37:00,2.6,2.6,2.6,2.6,0,20.659483,212500,727.25,730.0
2025-10-27 11:38:00,2.6,2.6,2.6,2.6,0,19.381966,212500,727.8,730.0
2025-10-27 11:39:00,2.95,2.95,2.6,2.95,612000,21.140752,212500,727.9,730.0
2025-10-27 11:40:00,2.9,2.95,2.9,2.9,2550,21.581387,221000,727.6,730.0
2025-10-27 11:41:00,2.9,2.9,2.9,2.9,0,22.991014,221000,727.0,730.0
2025-10-27 11:42:00,2.9,2.9,2.9,2.9,0,23.112204,221000,726.95,730.0
2025-10-27 11:43:00,2.75,3.2,2.75,3.2,669800,22.460298,215900,727.95,730.0
2025-10-27 11:44:00,3.15,3.2,3.15,3.15,850,22.791025,215900,727.7,730.0
2025-10-27 11:45:00,3.15,3.15,3.15,3.15,0,22.797071,215900,727.7,730.0
2025-10-27 11:46:00,3.15,3.15,3.15,3.15,0,23.044216,215900,727.6,730.0
2025-10-27 11:47:00,3.15,3.15,3.15,3.15,0,23.290204,203150,727.5,730.0
2025-10-27 11:48:00,3.15,3.15,3.15,3.15,0,24.361185,203150,727.05,730.0
2025-10-27 11:49:00,2.7,3.15,2.7,2.7,675750,20.838784,201450,727.45,730.0
2025-10-27 11:50:00,2.7,2.7,2.7,2.7,0,21.194039,201450,727.3,730.0
2025-10-27 11:51:00,2.7,2.7,2.7,2.7,0,21.08341,201450,727.35,730.0
2025-10-27 11:52:00,2.7,2.7,2.7,2.7,0,21.089038,201450,727.35,730.0
2025-10-27 11:53:00,2.75,2.75,2.7,2.75,681700,20.676892,198050,727.65,730.0
2025-10-27 11:54:00,2.75,2.75,2.75,2.75,0,20.801024,198050,727.6,730.0
2025-10-27 11:55:00,2.75,2.75,2.75,2.75,0,21.511486,198050,727.3,730.0
2025-10-27 11:56:00,2.75,2.75,2.75,2.75,0,21.749725,198050,727.2,730.0
2025-10-27 11:57:00,2.75,2.75,2.75,2.75,0,21.17181,198050,727.45,730.0
2025-10-27 11:58:00,2.75,2.75,2.75,2.75,0,21.177475,195500,727.45,730.0
2025-10-27 11:59:00,2.75,2.75,2.75,2.75,0,21.183149,195500,727.45,730.0
2025-10-27 12:00:00,2.75,2.75,2.75,2.75,0,21.54024,195500,727.3,730.0
2025-10-27 12:01:00,2.75,2.75,2.75,2.75,0,21.894728,195500,727.15,730.0
2025-10-27 12:02:00,2.75,2.75,2.75,2.75,0,21.551771,195500,727.3,730.0
2025-10-27 12:03:00,2.75,2.75,2.75,2.75,0,20.851277,195500,727.6,730.0
2025-10-27 12:04:00,2.85,2.85,2.75,2.85,684250,21.906943,195500,727.4,730.0
2025-10-27 12:05:00,2.85,2.85,2.85,2.85,0,22.615302,195500,727.1,730.0
2025-10-27 12:06:00,2.45,2.85,2.45,2.45,685950,20.515133,195500,727.0,730.0
2025-10-27 12:07:00,2.3,2.45,2.3,2.3,850,20.853772,195500,726.45,730.0
2025-10-27 12:08:00,2.25,2.3,2.25,2.25,687650,20.66856,195500,726.4,730.0
2025-10-27 12:09:00,2.1,2.25,2.1,2.1,2550,19.985045,195500,726.3,730.0
2025-10-27 12:10:00,2.2,2.2,2.1,2.2,688500,20.379157,195500,726.4,730.0
2025-10-27 12:11:00,2.3,2.3,2.2,2.3,3400,21.310807,195500,726.25,730.0
2025-10-27 12:12:00,2.3,2.3,2.3,2.3,0,21.854571,195500,726.0,730.0
2025-10-27 12:13:00,2.3,2.3,2.3,2.3,0,21.213893,195500,726.3,730.0
2025-10-27 12:14:00,2.1,2.3,2.1,2.25,693600,20.484153,192950,726.5,730.0
2025-10-27 12:15:00,2.25,2.25,2.25,2.25,0,20.598682,192950,726.45,730.0
2025-10-27 12:16:00,2.25,2.25,2.25,2.25,0,18.939612,192950,727.2,730.0
2025-10-27 12:17:00,2.25,2.25,2.25,2.25,0,19.057805,192950,727.15,730.0
2025-10-27 12:18:00,2.25,2.25,2.25,2.25,0,19.956795,192950,726.75,730.0
2025-10-27 12:19:00,2.25,2.25,2.25,2.25,0,19.068143,192950,727.15,730.0
2025-10-27 12:20:00,2.3,2.3,2.25,2.3,698700,20.265557,192950,726.75,730.0
2025-10-27 12:21:00,2.3,2.3,2.3,2.3,0,19.373529,192950,727.15,730.0
2025-10-27 12:22:00,2.3,2.3,2.3,2.3,0,18.922568,192950,727.35,730.0
2025-10-27 12:23:00,2.35,2.35,2.3,2.35,699550,19.221047,192100,727.35,730.0
2025-10-27 12:24:00,2.35,2.35,2.35,2.35,0,19.110991,192100,727.4,730.0
2025-10-27 12:25:00,2.35,2.35,2.35,2.35,0,18.534483,192100,727.65,730.0
2025-10-27 12:26:00,2.35,2.35,2.35,2.35,0,18.656624,192950,727.6,730.0
2025-10-27 12:27:00,2.25,2.35,2.25,2.25,702950,19.109675,192950,727.15,730.0
2025-10-27 12:28:00,2.25,2.25,2.25,2.25,2550,18.429768,192950,727.45,730.0
2025-10-27 12:29:00,2.25,2.25,2.25,2.25,703800,19.006684,192950,727.2,730.0
2025-10-27 12:30:00,2.4,2.4,2.25,2.4,3400,19.666734,192950,727.3,730.0
2025-10-27 12:31:00,2.4,2.4,2.4,2.4,0,20.016683,192950,727.15,730.0
2025-10-27 12:32:00,2.4,2.4,2.4,2.4,0,18.861639,192950,727.65,730.0
2025-10-27 12:33:00,2.4,2.4,2.4,2.4,0,18.511752,192950,727.8,730.0
2025-10-27 12:34:00,2.4,2.4,2.4,2.4,0,18.635589,192950,727.75,730.0
2025-10-27 12:35:00,2.4,2.4,2.4,2.4,0,18.994835,192950,727.6,730.0
2025-10-27 12:36:00,2.4,2.4,2.4,2.4,714850,19.000046,191250,727.6,730.0
2025-10-27 12:37:00,2.4,2.4,2.4,2.4,0,18.532113,191250,727.8,730.0
2025-10-27 12:38:00,2.4,2.4,2.4,2.4,0,19.010472,191250,727.6,730.0
2025-10-27 12:39:00,2.4,2.4,2.4,2.4,0,19.483359,191250,727.4,730.0
2025-10-27 12:40:00,2.3,2.4,2.3,2.3,717400,19.360074,190400,727.2,730.0
2025-10-27 12:41:00,2.4,2.4,2.3,2.4,3400,20.414059,192950,727.0,730.0
2025-10-27 12:42:00,2.3,2.4,2.3,2.3,719100,19.598661,192950,727.1,730.0
2025-10-27 12:43:00,2.45,2.45,2.3,2.45,5100,19.681729,190400,727.45,730.0
2025-10-27 12:44:00,2.45,2.45,2.45,2.45,0,20.036798,190400,727.3,730.0
2025-10-27 12:45:00,2.45,2.45,2.45,2.45,0,19.692551,190400,727.45,730.0
2025-10-27 12:46:00,2.45,2.45,2.45,2.45,0,19.580682,190400,727.5,730.0
2025-10-27 12:47:00,2.45,2.45,2.45,2.45,0,19.232061,190400,727.65,730.0
2025-10-27 12:48:00,2.6,2.6,2.45,2.6,725900,21.175306,190400,727.2,730.0
2025-10-27 12:49:00,2.45,2.6,2.45,2.45,850,20.180373,188700,727.25,730.0
2025-10-27 12:50:00,2.4,2.45,2.4,2.4,734400,19.191169,188700,727.55,730.0
2025-10-27 12:51:00,2.4,2.4,2.4,2.4,0,19.19646,188700,727.55,730.0
2025-10-27 12:52:00,2.4,2.4,2.4,2.4,0,19.901465,188700,727.25,730.0
2025-10-27 12:53:00,2.6,2.6,2.4,2.6,742050,19.780611,185300,727.8,730.0
2025-10-27 12:54:00,2.65,2.65,2.6,2.65,3400,20.198093,185300,727.75,730.0
2025-10-27 12:55:00,2.65,2.65,2.65,2.65,0,18.977172,185300,728.25,730.0
2025-10-27 12:56:00,2.65,2.65,2.65,2.65,0,17.58256,185300,728.8,730.0
2025-10-27 12:57:00,3.0,3.0,2.65,2.85,751400,18.732055,187000,728.8,730.0
2025-10-27 12:58:00,2.85,2.85,2.85,2.85,1700,19.127512,187000,728.65,730.0
2025-10-27 12:59:00,2.85,2.85,2.85,2.85,0,19.518823,187000,728.5,730.0
2025-10-27 13:00:00,2.85,2.85,2.85,2.85,0,19.267343,187000,728.6,730.0
2025-10-27 13:01:00,2.8,2.85,2.8,2.8,755650,18.727129,184450,728.7,730.0
2025-10-27 13:02:00,2.8,2.8,2.8,2.8,0,18.077142,184450,728.95,730.0
2025-10-27 13:03:00,2.8,2.8,2.8,2.8,0,17.949547,184450,729.0,730.0
2025-10-27 13:04:00,2.8,2.8,2.8,2.8,0,18.351106,184450,728.85,730.0
2025-10-27 13:05:00,2.8,2.8,2.8,2.8,0,18.356259,184450,728.85,730.0
2025-10-27 13:06:00,2.75,2.8,2.75,2.75,756500,19.108551,185300,728.45,730.0
2025-10-27 13:07:00,2.75,2.75,2.75,2.75,0,18.986345,185300,728.5,730.0
2025-10-27 13:08:00,2.85,2.85,2.75,2.85,757350,20.077352,185300,728.3,730.0
2025-10-27 13:09:00,2.85,2.85,2.85,2.85,0,19.573372,185300,728.5,730.0
2025-10-27 13:10:00,2.85,2.85,2.85,2.85,0,19.321299,185300,728.6,730.0
2025-10-27 13:11:00,2.85,2.85,2.85,2.85,0,20.220551,185300,728.25,730.0
2025-10-27 13:12:00,2.85,2.85,2.85,2.85,0,20.602951,185300,728.1,730.0
2025-10-27 13:13:00,2.85,2.85,2.85,2.85,0,21.105612,185300,727.9,730.0
2025-10-27 13:14:00,2.85,2.85,2.85,2.85,0,19.984142,185300,728.35,730.0
2025-10-27 13:15:00,2.85,2.85,2.85,2.85,0,21.11737,185300,727.9,730.0
2025-10-27 13:16:00,2.5,2.85,2.5,2.5,759050,17.715583,185300,728.45,730.0
2025-10-27 13:17:00,2.5,2.5,2.5,2.5,0,18.962211,185300,727.95,730.0
2025-10-27 13:18:00,2.3,2.5,2.3,2.3,760750,17.915907,183600,727.9,730.0
2025-10-27 13:19:00,2.45,2.45,2.3,2.45,850,18.558068,183600,728.0,730.0
2025-10-27 13:20:00,2.45,2.45,2.45,2.45,0,18.194724,182750,728.15,730.0
2025-10-27 13:21:00,2.55,2.55,2.45,2.55,765850,18.157147,182750,728.4,730.0
2025-10-27 13:22:00,2.55,2.55,2.55,2.55,0,18.28842,182750,728.35,730.0
2025-10-27 13:23:00,2.55,2.55,2.55,2.55,0,19.164384,182750,728.0,730.0
2025-10-27 13:24:00,2.55,2.55,2.55,2.55,0,18.549795,181050,728.25,730.0
2025-10-27 13:25:00,2.55,2.55,2.55,2.55,0,19.420353,181050,727.9,730.0
2025-10-27 13:26:00,2.4,2.55,2.4,2.4,767550,18.665952,181050,727.85,730.0
2025-10-27 13:27:00,2.4,2.4,2.4,2.4,0,19.032281,181050,727.7,730.0
2025-10-27 13:28:00,2.3,2.4,2.3,2.3,769250,18.207117,181900,727.8,730.0
2025-10-27 13:29:00,2.3,2.3,2.3,2.3,0,19.855688,181900,727.1,730.0
2025-10-27 13:30:00,2.05,2.3,2.05,2.05,770950,18.125815,183600,727.2,730.0
2025-10-27 13:31:00,2.05,2.05,2.05,2.05,0,18.130931,183600,727.2,730.0
2025-10-27 13:32:00,2.1,2.1,2.05,2.1,775200,18.323735,182750,727.25,730.0
2025-10-27 13:33:00,2.1,2.1,2.1,2.1,0,18.443276,182750,727.2,730.0
2025-10-27 13:34:00,2.2,2.2,2.1,2.2,782000,18.704793,182750,727.35,730.0
2025-10-27 13:35:00,2.2,2.2,2.2,2.2,0,18.36028,182750,727.5,730.0
2025-10-27 13:36:00,2.2,2.2,2.2,2.2,0,18.365481,182750,727.5,730.0
2025-10-27 13:37:00,2.3,2.3,2.2,2.3,782850,18.373544,181900,727.75,730.0
2025-10-27 13:38:00,2.45,2.45,2.3,2.45,850,18.902751,182750,727.9,730.0
2025-10-27 13:39:00,2.45,2.45,2.45,2.45,783700,18.908115,182750,727.9,730.0
2025-10-27 13:40:00,2.45,2.45,2.45,2.45,0,19.398566,182750,727.7,730.0
2025-10-27 13:41:00,2.45,2.45,2.45,2.45,0,19.162234,181900,727.8,730.0
2025-10-27 13:42:00,2.25,2.45,2.25,2.25,787100,18.10269,181900,727.75,730.0
2025-10-27 13:43:00,2.25,2.25,2.25,2.25,0,18.227268,181900,727.7,730.0
2025-10-27 13:44:00,2.25,2.25,2.25,2.25,0,18.232449,181900,727.7,730.0
2025-10-27 13:45:00,2.25,2.25,2.25,2.25,0,18.237652,181900,727.7,730.0
2025-10-27 13:46:00,2.3,2.3,2.25,2.3,789650,18.659964,181900,727.65,730.0
2025-10-27 13:47:00,2.3,2.3,2.3,2.3,0,19.02161,181900,727.5,730.0
