datetime,open,high,low,close,volume,iv,oi,spot,strike
2021-12-28 09:15:00,10.0,10.0,9.0,9.0,29250,31.40274,667550,929.1,930.0
2021-12-28 09:16:00,7.8,8.75,7.25,8.1,67600,31.387033,667550,927.25,930.0
2021-12-28 09:17:00,10.85,10.85,9.75,10.5,9750,25.510588,425100,925.0,920.0
2021-12-28 09:18:00,7.15,7.15,6.95,6.95,43550,30.295664,702650,925.4,930.0
2021-12-28 09:19:00,9.8,9.8,9.1,9.1,13650,22.808284,425100,923.95,920.0
2021-12-28 09:20:00,9.6,11.0,9.6,11.0,16250,29.262568,432900,924.1,920.0
2021-12-28 09:21:00,6.6,7.15,6.6,7.15,35100,30.476174,713700,925.75,930.0
2021-12-28 09:22:00,7.0,7.0,6.9,7.0,75400,26.897221,713700,927.7,930.0
2021-12-28 09:23:00,7.15,7.15,6.65,6.7,31850,27.919744,754000,926.4,930.0
2021-12-28 09:24:00,6.8,6.8,6.55,6.55,26650,28.169342,754000,925.9,930.0
2021-12-28 09:25:00,6.65,7.3,6.2,7.3,41600,29.856804,754000,926.5,930.0
2021-12-28 09:26:00,6.4,6.4,6.3,6.4,39650,27.73068,771550,925.85,930.0
2021-12-28 09:27:00,6.45,6.6,6.3,6.3,12350,27.913059,771550,925.5,930.0
2021-12-28 09:28:00,6.45,6.7,6.45,6.7,12350,28.405186,771550,926.1,930.0
2021-12-28 09:29:00,6.5,6.6,6.5,6.6,7150,28.214315,785850,926.0,930.0
2021-12-28 09:30:00,6.8,6.9,6.8,6.9,9750,28.647395,785850,926.4,930.0
2021-12-28 09:31:00,7.35,7.35,7.35,7.35,30550,26.827594,785850,928.5,930.0
2021-12-28 09:32:00,7.25,7.55,7.25,7.55,25350,26.591404,756600,929.05,930.0
2021-12-28 09:33:00,7.4,7.4,7.3,7.3,11700,27.32762,756600,928.1,930.0
2021-12-28 09:34:00,7.4,7.6,7.4,7.5,18200,27.440864,756600,928.45,930.0
2021-12-28 09:35:00,7.55,7.55,7.2,7.55,21450,26.6899,757250,929.0,930.0
2021-12-28 09:36:00,7.25,7.5,7.25,7.5,14300,26.522322,757250,929.0,930.0
2021-12-28 09:37:00,7.5,7.5,7.45,7.45,15600,27.198667,757250,928.5,930.0
2021-12-28 09:38:00,7.55,7.75,7.5,7.75,16900,26.703867,755950,929.4,930.0
2021-12-28 09:39:00,7.45,7.65,7.45,7.65,29900,27.221995,755950,928.9,930.0
2021-12-28 09:40:00,7.75,8.2,7.75,8.2,26650,27.385875,755950,929.9,930.0
2021-12-28 09:41:00,8.2,8.2,8.0,8.0,14300,26.613687,748800,929.95,930.0
2021-12-28 09:42:00,7.65,7.9,7.5,7.9,16900,27.583229,748800,929.2,930.0
2021-12-28 09:43:00,7.6,7.6,7.45,7.45,13000,27.725242,748800,928.2,930.0
