datetime,open,high,low,close,volume,iv,oi,spot,strike
2024-08-27 09:15:00,3.95,4.25,3.8,4.05,123900,22.897186,6890100,540.0,540.0
2024-08-27 09:16:00,4.35,4.4,4.3,4.4,151200,24.507554,6917400,540.15,540.0
2024-08-27 09:17:00,4.25,4.6,4.25,4.6,382200,23.47241,6917400,540.85,540.0
2024-08-27 09:18:00,4.35,4.35,4.3,4.3,105000,22.827198,6858600,540.5,540.0
2024-08-27 09:19:00,4.45,4.5,4.45,4.5,172200,22.390178,6858600,541.0,540.0
2024-08-27 09:20:00,4.25,4.65,4.25,4.25,224700,22.856047,6858600,540.4,540.0
2024-08-27 09:21:00,4.15,4.15,4.05,4.05,144900,22.458677,6858600,540.15,540.0
2024-08-27 09:22:00,4.0,4.05,4.0,4.05,54600,22.151321,6703200,540.25,540.0
2024-08-27 09:23:00,3.95,4.05,3.95,4.05,18900,23.834005,6703200,539.7,540.0
2024-08-27 09:24:00,4.1,4.1,3.95,3.95,44100,23.544241,6703200,539.6,540.0
2024-08-27 09:25:00,3.95,4.1,3.95,4.1,174300,21.82766,6696900,540.45,540.0
2024-08-27 09:26:00,4.35,4.35,4.2,4.2,111300,22.582818,6696900,540.4,540.0
2024-08-27 09:27:00,4.2,4.2,4.1,4.1,29400,22.621988,6696900,540.2,540.0
2024-08-27 09:28:00,4.1,4.1,4.0,4.0,130200,22.343866,6715800,540.1,540.0
2024-08-27 09:29:00,4.05,4.05,4.0,4.0,50400,22.655081,6715800,540.0,540.0
2024-08-27 09:30:00,4.0,4.05,4.0,4.05,79800,22.647378,6715800,540.1,540.0
2024-08-27 09:31:00,4.05,4.25,4.05,4.25,172200,23.369853,6705300,540.25,540.0
2024-08-27 09:32:00,3.9,3.9,3.8,3.8,199500,23.421721,6705300,539.35,540.0
2024-08-27 09:33:00,3.7,3.7,3.6,3.6,117600,23.3849,6736800,538.95,540.0
2024-08-27 09:34:00,3.65,3.75,3.65,3.75,73500,23.853513,6736800,539.1,540.0
2024-08-27 09:35:00,3.7,3.85,3.7,3.85,73500,24.307579,6736800,539.15,540.0
2024-08-27 09:36:00,3.8,3.8,3.7,3.7,25200,23.849189,6736800,539.0,540.0
2024-08-27 09:37:00,3.8,3.8,3.6,3.6,142800,23.681637,6783000,538.85,540.0
2024-08-27 09:38:00,3.65,3.7,3.65,3.7,67200,26.068674,6783000,538.2,540.0
2024-08-27 09:39:00,3.65,3.65,3.5,3.55,153300,25.709729,6906900,538.0,540.0
2024-08-27 09:40:00,3.55,3.6,3.55,3.6,46200,26.014181,6906900,538.0,540.0
2024-08-27 09:41:00,3.6,3.6,3.6,3.6,56700,25.347876,6906900,538.25,540.0
2024-08-27 09:42:00,3.5,3.5,3.5,3.5,46200,25.818996,6906900,537.85,540.0
2024-08-27 09:43:00,3.65,3.65,3.45,3.65,42000,25.655654,6919500,538.25,540.0
2024-08-27 09:44:00,3.65,3.65,3.65,3.65,31500,25.252268,6919500,538.4,540.0
2024-08-27 09:45:00,3.65,3.8,3.65,3.8,88200,25.740452,6930000,538.55,540.0
2024-08-27 09:46:00,3.6,3.6,3.55,3.55,35700,25.739503,6930000,538.0,540.0
2024-08-27 09:47:00,3.75,3.75,3.65,3.65,33600,26.344751,6930000,538.0,540.0
2024-08-27 09:48:00,3.65,3.65,3.55,3.55,48300,26.277785,6930000,537.8,540.0
2024-08-27 09:49:00,3.55,3.6,3.55,3.6,252000,26.451401,6986700,537.85,540.0
2024-08-27 09:50:00,3.65,3.65,3.6,3.6,48300,25.655455,6986700,538.15,540.0
2024-08-27 09:51:00,3.6,3.65,3.6,3.65,14700,25.6897,6986700,538.25,540.0
